假名	词性	汉字	含义
てをうつ	惯用语	手を打つ	拍手，达成协议，成交
ものをいう	惯用语	物を言う	说话，发挥作用
チャンス	惯用语	チャンス	机会，机遇
せをむける	惯用语	背を向ける	转过身去，不加理睬，背叛
てをやく	惯用语	手を焼く	棘手
ものになる	惯用语	物になる	成功，成才
かおがつぶれる	惯用语	顔がつぶれる	丢脸
めにかどをたてる	惯用语	目に角を立てる	怒目而视
おおめだまをくう	惯用语	大目玉を食う	挨了一顿严厉的申斥
めをまるくする	惯用语	目を丸くする	惊视
めはくちほどにものをいう	惯用语	目は口ほどに物を言う	眼睛能像嘴那样传情
はなにかける	惯用语	鼻にかける	自满；说话带鼻音，撒娇
はなをたかくする	惯用语	鼻を高くする	翘尾巴，趾高气扬
はなのさきでひとをあしらう	惯用语	鼻の先で人をあしらう	冷淡对待
くちはわざわいのかど	惯用语	口は災いの門	祸从口出
いわぬがはな	惯用语	言わぬが花	少说为妙
きじもなからずばうたれまい	惯用语	雉子もな鳴かずばうたれまい	祸从口出，好叫的野鸡挨枪打
ころばぬさきのつえ	惯用语	転ばぬ先の杖	未雨绸缪
ぬすっとをとらえてなわをなう	惯用语	盗人を捕らえて縄をなう	临渴掘井
たんきはそんき	惯用语	短気は損気	急性子吃亏
ねこにこばん	惯用语	猫に小判	对牛弹琴
にかいからめぐすり	惯用语	二階から目薬	远水救不了近火
いそがばまわれ	惯用语	急がば回れ	欲速则不达
へたのよこずき	惯用语	下手の横好き	本来搞不好偏要搞
こうぼうもふでのあやまり	惯用语	弘法も筆の誤り	智者千虑必有一失
どんぐりのせくらべ	惯用语	団栗の背比べ	半斤八两
せんりのこうもあしもとからはじまる	惯用语	千里の行も足下から始まる	千里之行始于足下
こんにちは	惯用语	こんにちは	你好
すみません	惯用语	すみません	对不起，请问
どうぞ	惯用语	どうぞ	请
よろしくおねがいします	惯用语	よろしくお願いします	请多关照
はじめまして	惯用语	はじめまして	初次见面
こちらこそ	惯用语	こちらこそ	我才要（请您～）
そうです	惯用语	そうです	是（这样）
ちがいます	惯用语	ちがいます	不是
わかりません	惯用语	分かりません	不知道
どうもすみません	惯用语	どうもすみません	实在对不起
ありがとうございます	惯用语	ありがとうございます	谢谢
おいくつ	惯用语	おいくつ	多大
ここ～	惯用语	ここ	～近～，最近～
おはよう	惯用语	お早う	你早
おつかれさまでした	惯用语	お疲れ様でした	够累的
おさきにしつれいします	惯用语	お先に失礼します	我先走了，我先告辞了
たいへんですね	惯用语	大変ですね	真不容易，够受的，不得了
いらっしゃいませ	惯用语	いらっしゃいませ	欢迎光临
しつれいします	惯用语	失礼します	告辞了，我走了
しつれいしました	惯用语	失礼しました	打搅了，失礼了
いってまいります	惯用语	いってまいります	我走了
いってきます	惯用语	いってきます	我走了
いってらっしゃい	惯用语	いってらっしゃい	你走好
ただいま	惯用语	ただいま	我回来了
おかえりなさい	惯用语	お帰りなさい	你回来了
かしこまりました	惯用语	かしこまりました	我知道了
ください	惯用语	ください	给我
ごぜんちゅう	惯用语	午前中	上午
どうですか	惯用语	どうですか	怎样，如何
おねがいします	惯用语	お願いします	拜托了
わかりました	惯用语	分かりました	明白了
よかったです	惯用语	よかったです	太好了
きもちがいい	惯用语	気持ちがいい	感觉舒服，心情愉快
けっこうです	惯用语	結構です	不用，不要
きにいります	惯用语	気に入ります	喜欢，中意
にんきがあります	惯用语	人気があります	受欢迎
どのぐらい/どれぐらい	惯用语	どのぐらい/どれぐらい	多久，多少钱
すみませんが	惯用语	すみませんが	对不起……，劳驾……
おだいじに	惯用语	お大事に	请多保重
いけません	惯用语	いけません	不行，不可以
かまいません	惯用语	かまいません	没关系，不要紧
まだです	惯用语	まだです	还没有，仍然……没有
むりをします	惯用语	無理をします	勉强
すいみんをとります	惯用语	睡眠をとります	睡觉
おふろにはいります	惯用语	お風呂にはいります	洗澡
できるだけ	惯用语	できるだけ	尽量，尽可能
まとめて	惯用语	まとめて	一下子，一起，汇总，汇集
いまから	惯用语	今から	从现在起
おなかがすきます	惯用语	おなかがすきます	肚子饿
おせわになりました	惯用语	お世話になりました	承蒙照顾
よろしくおつたえください	惯用语	よろしくお伝えください	请代问好
おげんきで	惯用语	お元気で	请多保重
おきをつけて	惯用语	お気をつけて	小心点儿
さようなら	惯用语	さようなら	再见
おなかがいっぱいです	惯用语	おなかがいっぱいです	吃饱，饱
このあたり	惯用语	このあたり	这一带，这附近
あいさつまわり	惯用语	あいさつ回り	寒暄拜访
いけない	惯用语	いけない	不行，不好，不可以
このまえ	惯用语	この前	前几天，之前，最近
そういえば	惯用语	そう言えば	说起来，这么说来
きがつきます	惯用语	気がつきます	察觉
しばらくです	惯用语	しばらくです	好久不见
こくさいぼうえきセンター	惯用语	国際貿易センター	国际贸易中心
どういたしまして	惯用语	どういたしまして	没关系
どのへん	惯用语	どの辺	哪儿
かわった	惯用语	変わった	怪
かぜをひきます	惯用语	風邪を引きます	感冒
しかたない	惯用语	仕方ない	没有办法
きもちわるい	惯用语	気持ち悪い	不舒服
おじゃましました	惯用语	お邪魔しました	打扰了
かぜがつよい	惯用语	風が強い	风大
おひさしぶりです	惯用语	お久しぶりです	好久不见
このまま	惯用语	このまま	就这样，照这样，如此
えんりょなく	惯用语	遠慮なく	不客气
このへん	惯用语	この辺	这一带，这附近，这儿
いそいで	惯用语	急いで	急急忙忙地，匆忙地
おまたせしました	惯用语	お待たせしました	让您久等了
かんじがします	惯用语	感じがします	感觉，觉得
てんきんになる	惯用语	転勤になる	调动工作，调换工作地点
ごぶさたする	惯用语	ごぶさたする	好久不见，久疏问候
ごちそうさまでした	惯用语	御ちそう様でした	谢谢热情款待
もうしわけありません	惯用语	申し訳ありません	对不起，抱歉
では，これで	惯用语	では，これで	那就这样吧
いくら～ても	惯用语	いくら～ても	不管怎么也…也，无论怎么…都
これからおせわになります	惯用语	これからお世話になります	往后（今后）请多费心
よろしくおねがいもうしあげます	惯用语	よろしくお願い申し上げます	请多关照
かまわない	惯用语	かまわない	没关系
そのように	惯用语	そのように	那样
かんけいがある	惯用语	関係がある	有关系
きんぼしをあげる	惯用语	金星をあげる	成就非凡功绩，获得金星
ちがいない	惯用语	違いない	没错
そういない	惯用语	相違ない	没有区别
めんどうをみる	惯用语	面倒を見る	照顾，照料
それはもう　	惯用语	それはもう　	可不是嘛，是呀，是啊，那是
きになる	惯用语	気になる	有意，有心；担心，挂念
きにする	惯用语	気にする	介意．关心．留心
そのとおりです	惯用语	そのとおりです	是这样，是那样的，的确如此
～とおり	惯用语	～とおり	～样，～那样
おせわになります	惯用语	お世話になります	承蒙关照
とんでもありません	惯用语	とんでもありません	没有的事儿，哪儿的话
かんしんがある	惯用语	関心がある	感兴趣
むちゅうになる	惯用语	夢中になる	热衷，入迷，沉醉
くらべものにならない	惯用语	比べものにならない	不能相提并论，不可同日而语
よいうと	惯用语	よいうと	你的意思是？怎么说？
おおきに	惯用语	おおきに	谢谢，多谢（大阪方言）
あかん	惯用语	あかん	不行，不可以（大阪方言）
みみにする	惯用语	耳にする	听到
せっかくですけれど	惯用语	せっかくですけれど	有违您的好意，承蒙特意邀请，却……
えんりょしておきます	惯用语	遠慮しておきます	算了，不用了
おめでとうございます	惯用语	おめでとうございます	恭喜，恭贺
めにする	惯用语	目にする	看到，看见
そうだんにのる	惯用语	相談に乗る	商量，征求意见
まあ、まあ	惯用语	まあ、まあ	行了行了
あとにする	惯用语	後にする	待会儿，放在后面，推后
つまらないものですが	惯用语	つまらないものですが	一点小意思，不是什么值钱的东西
チャンス	惯用语	チャンス	机会，机遇
かいせい	惯用语	快晴	大晴天，晴朗，好天气
おくさま	惯用语	奥様	尊夫人，（您）太太
ごめんください	惯用语	ごめんください	再见
よくいらっしゃいました	惯用语	よくいらっしゃいました	欢迎光临
ほんのきもちですが	惯用语	ほんの気持ちですが	一点点心意
くちにあう	惯用语	口に合う	合口味
まだいいじゃありませんか	惯用语	まだいいじゃありませんか	时间还早嘛，不是还早吗
ひつじ	惯用语	羊	羊，绵羊
まどぐち	惯用语	窓口	窗口
なかよくする	惯用语	仲良くする	友好，处好关系；亲密
カップル	惯用语	カップル	一对儿，情侣，一对男女
そざい	惯用语	素材	材料，素材
しんしゅんのこう	惯用语	新春の候	时值新春，新春的问候
おめにかかる	惯用语	おめにかかる（お目にかかる）拜会，见面，会见	拜会，见面，会见
ゲームセンター	惯用语	ゲームセンター	游戏厅，游戏中心
さいど	惯用语	再度	再次，再一次
どういったこと	惯用语	どういったこと	怎么回事
ひびがはいる	惯用语	ひびが入る	出现裂痕，存在裂痕
なんとか	惯用语	何とか	无论如何，想方设法，千方百计
～だらけ	惯用语	～だらけ	总是～，净是～，满是～
ななころびやおき	惯用语	七転び八起き	百折不挠，百折不回
へんにおもう	惯用语	変に思う	觉得奇怪
ごみすてば	惯用语	ごみ捨て場	垃圾站，垃圾场
ダイヤモンド／ダイヤ	惯用语	ダイヤモンド／ダイヤ	钻石，金刚石
ていきゅうび	惯用语	定休日	定期休息日，例行休假日
みをむすぶ	惯用语	実を結ぶ	取得成果，结果；成功，实现
やくめをはたす	惯用语	役目を果たす	发挥作用，完成任务
こころをひとつにする	惯用语	心を1つにする	团结一心，互相协作
にいがたけん	惯用语	新潟県	新潟县
あっち	感叹词	あっち	那边，那里
どっち	感叹词	どっち	哪边，哪里
なるほど	感叹词	なるほど	的确．诚然
ほら	感叹词	ほら	你看，瞧，喂
ええと	感叹词	ええと	啊，嗯
へえ	感叹词	へえ	哎，哎呀，哎哟
まあ	感叹词	まあ	嗯，嘿，哎哟
ははは	感叹词	ははは	哈哈
やあ	感叹词	やあ	哎呀，啊，呀
いらっしゃい	感叹词	いらっしゃい	欢迎光临
おっ	感叹词	おっ	噢
あっ	感叹词	あっ	哎，哎呀
ねえ	感叹词	ねえ	喂
ほう	感叹词	ほう	哦，嗬
あ	感叹词	あ	是，呀，哎呀
よし	感叹词	よし	好，对
そうか	感叹词	そうか	是吗
え	感叹词	え	哦
ふうん	感叹词	ふうん	是嘛，嗯
えっと	感叹词	えっと	用于劝诱,催促或迟疑
ああ	感叹词	ああ	啊
いらっしゃい	感叹词	いらっしゃい	欢迎光临
ええと	感叹词	ええと	啊，嗯
えっ	感叹词	えっ	啊
あ	感叹词	あ	是，呀，哎呀
なるほど	感叹词	なるほど	的确．诚然
やあ	感叹词	やあ	哎呀，啊，呀
いや	感叹词	いや	不；哎呀
うーん	感叹词	うーん	嗯……，这个……
おや	感叹词	おや	（表示意外，惊讶）哎呀
ほら	感叹词	ほら	你看，瞧，喂
はあ	感叹词	はあ	（答应）是，（惊叹）嗬，（疑问）啊
まあ	感叹词	まあ	嗯，嘿，哎哟
わあ	感叹词	わあ	哇
あら	感叹词	あら	（女性惊讶时的声音）哎呀，哎哟
ごめん	感叹词	御免	对不起
そうそう	感叹词	そうそう	是的是的
ほう	感叹词	ほう	哦，嗬
もしもし	感叹词	もしもし	喂
ねえ	感叹词	ねえ	喂
へえ	感叹词	へえ	哎，哎呀，哎哟
そうそう	感叹词	そうそう	是的是的
しまった	感叹词	しまった	糟了
よしよし	感叹词	よしよし	（表示允许答应）行，可以，好
はあい	感叹词	はあい	（拉长的答应声）
さあさあ	感叹词	さあさあ	（劝诱，催促时的招呼声
おい	感叹词	おい	哎，喂
わっしょい	感叹词	わっしょい	（担重物时的吆喝声）哟黑
や	感叹词	や	（轻松的）肯定
ははあ	感叹词	ははあ	（想起了，明白了时发出的声音）哈哈，啊
さては	感叹词	さては	（用于忽然发觉的时候）原来是
やれやれ	感叹词	やれやれ	（表示放心）哎呀呀；（表示疲倦愕然）哎呀
いざ	感叹词	いざ	一旦
あっ	感叹词	あっ	哎，哎呀
えっ	感叹词	えっ	啊
わあ	感叹词	わあ	哇
ええと	感叹词	ええと	啊，嗯
あら/あれ	感叹词	あら/あれ	哎呀，咦
ああ	感叹词	ああ	啊
あれえ	感叹词	あれえ	咦
うーん	感叹词	うーん	嗯……，这个……
もしもし	感叹词	もしもし	喂
いえ	感叹词	いえ	不，不是
ほら	感叹词	ほら	你看，瞧，喂
ごめん	感叹词	ごめん	抱歉，请原谅
ううん/いや	感叹词	ううん/いや	不
へえ	感叹词	へえ	哎，哎呀，哎哟
おい	感叹词	おい	哎，喂
そうか	感叹词	そうか	是吗
まあ	感叹词	まあ	嗯，嘿，哎哟
うわあ	感叹词	うわあ	哇
そうそう	感叹词	そうそう	是的是的
ふうん	感叹词	ふうん	是嘛，嗯
はいはい	感叹词	はいはい	是是
なるほど	感叹词	なるほど	的确．诚然
ほう	感叹词	ほう	哦，嗬
ねえ	感叹词	ねえ	喂
やあ	感叹词	やあ	哎呀，啊，呀
よし	感叹词	よし	好，对
あっち	感叹词	あっち	那边，那里
どっち	感叹词	どっち	哪边，哪里
このあいだ	词组	このあいだ	前些日子，以前
みため	词组	見た目	外观
まえもって	词组	前もって	提前
のこらず	词组	残らず	全部，统统
それだけ	词组	それだけ	相应地
あのまま	词组	あのまま	就那样
なんとか	词组	なんとか	千方百计，设法
そのかわり	词组	その代わり	取而代之，反而
ただでさえ	词组	ただでさえ	本来就，平常就
いまでは	词组	今では	现在
これなら	词组	これなら	这样一来
どのように	词组	どのように	如何，怎样
それこそ	词组	それこそ	那才，那正是
これまで	词组	これまで	历来，以前
そうですか	词组	そうですか	表示轻微的感动或惊讶（是,么）
さよなら	词组	さよなら	再见
こんにちは	词组	今日は	你好
ほかに	词组	外に	除…之外
おふろにはいる	词组	お風呂に入る	洗澡
おかけください	词组	おかけください	请坐
おかまいなく	词组	おかまいなく	请别张罗
きをつけて	词组	気をつけて	注意
きてください	词组	来てください	请来
きをつけてください	词组	気を付けてください	请注意
にんきがある	词组	人気がある	受欢迎
メモをとる	词组	メモを取る	作笔记
おうけとりください	词组	お受取りください	请收下
みにつける	词组	身につける	掌握，带（穿）在身上
ではまた	词组	ではまた	回头见
ちからをいれる	词组	力を入れる	着力
みみをかたむける	词组	耳を傾ける	倾听
なかよくなる	词组	仲よくなる	关系变得融洽起来
じゅうすうかこく	词组	十数か国	十几个国家
きをつける	词组	気を付ける	注意
おなかがすく	词组	お腹がすく	肚子饿
やくにたつ	词组	役に立つ	有用处，有益处
をたのしみにする	词组	を楽しみにする	希望，期望
ごしんぱいなく	词组	ご心配なく	请不必担心
きにいる	词组	気に入る	中意，满意
かぜをひく	词组	風邪をひく	感冒
きにかける	词组	気にかける	放在心上
ごちそうさま	词组	御馳走様	承您款待了
ようなきがする	词组	ようなきがする	感到
ごりようくださいまして	词组	ご利用くださいまして	承蒙利用
こうどけいざいせいちょうき	词组	高度経済成長期	经济高速发展时期
めにあう	词组	目に遭う	遇见（倒霉事）
しかたがない	词组	仕方が無い	没办法，无济于事
めをとおす	词组	目を通す	浏览，过目
しんぶんをとる	词组	新聞を取る	订报
てすうをかける	词组	手数をかける	添麻烦
なにより	词组	何より	比什么（都好）
まつびつながら	词组	末筆ながら	（书信接尾用语）顺…
せきをはずす	词组	席をはずす	离开座位，
なまえをつける	词组	名前をつける	起名字
きがちる	词组	気が散る	注意力不集中
りしをつける	词组	利子をつける	加上利息
ごとに	词组	ごとに	每…
てにはいる	词组	手に入る	到手
それまで	词组	それまで	到那时
ちからをつくす	词组	力を尽くす	贡献力量
いつのまにか	词组	何時の間にか	不知什么时候
きをくばる	词组	気を配る	注意，留神
フラッシュをたく	词组	フラッシュをたく	点镁光
なんと	词组	何と	多么
ふしをつける	词组	節をつける	抑扬顿挫，谱曲
なぞのかけっこ	词组	謎のかけっこ	赛谜（儿童语）
だれひとり	词组	誰一人	（下接否定）谁都
めにはいる	词组	目に入る	看见
かたでいきをする	词组	肩で息をする	呼吸困难
いきをはずむ	词组	息を弾む	呼吸急促
まをおく	词组	間を置く	留出时间，留出间隔
そのつど	词组	その都度	每次，每回
かたをならべる	词组	肩を並べる	并肩
そのおり	词组	そのおり	那时
どうかなる	词组	どうかなる	总会有办法
くびをひねる	词组	首をひねる	左思右想
まゆをひそめる	词组	眉をひそめる	皱眉
さがつく	词组	差がつく	加以区别
みおとりがする	词组	見劣りがする	有逊色
くべつがつく	词组	区別がつく	辨别，区别
どうのこうの	词组	どうのこうの	这呀那呀，说长道短
めをやる	词组	目をやる	朝…看
くらべものにならない	词组	比べ物にならない	不能比
けしからん	词组	けしからん	粗鲁，岂有此理
ディスカバージャパン	词组	ディスカバージャパン	（广告语）探索日本
くちをひらく	词组	口を開く	开口
これだけ	词组	これだけ	如此地，唯有这个
よかれあしかれ	词组	良かれ悪しかれ	好歹地，好也罢坏也罢
スイッチをきる	词组	スイッチを切る	关上开关
いずれにせよ	词组	いずれにせよ	反正，总之
わなにかかる	词组	罠にかかる	上了圈套，中了暗算
てをつく	词组	手をつく	（表示请求或感谢等）两手扶地
なんと	词组	何と	多么
ひとかたならぬ	词组	一方ならぬ	特别，格外，分外
とほうにくれる	词组	途方に暮れる	想不出办法，走投无路
だいにじせかいたいせん	词组	第二次世界大戦	第二次世界大战
こしをおろす	词组	腰をおろす	坐下，落座
くにをあげて	词组	国を挙げて	举国
のきをならべる	词组	軒を並べる	（房屋）鳞次栉比
おもいをする	词组	思いをする	感到，觉得
いずれにしても	词组	何れにせよ	反正，总之，不拘怎样
ひけをととらない	词组	引けをと取らない	不逊色
はじをかく	词组	恥をかく	丢脸，出丑
ならうよりならせ	词组	習うより習せ	熟能生巧
べからず	词组	べからず	禁止，不可，不能
ひょっとしたら	词组	ひょっとしたら	也许，有可能
をことにする	词组	を異にする	和…不同
かおをたてる	词组	顔を立てる	给面子
かおがたたない	词组	顔が立たない	脸上无光，不够面子
めをいからす	词组	目を怒らす	怒目，瞪眼睛
あぐらをかく	词组	胡座をかく	盘腿坐
きりがない	词组	切りがない	无止境
はなはだしきにいたっては	词组	甚だしきに至っては	甚至于，更有甚者
ことにあたる	词组	事に当たる	从事，做事
きがきく	词组	気が利く	漂亮，机灵，心眼快
ばかごやし	词组	馬鹿肥し	不起作用的肥料
きたぐにのはる	词组	北国の春	北国之春（歌名）
あっけにとられる	词组	呆気にとられる	目瞪口呆，呆若木鸡
でしいり	词组	弟子入り	当徒弟
あたまがくる	词组	頭が来る	头疼，酒上头，气得发昏
とく	词组	とく	ておく口语形式
きがとがめる	词组	気が咎める	于心不安，不好意思
てだまにとる	词组	手玉に取る	玩弄人，捉弄人
くびをひねる	词组	首をひねる	左思右想
めをむける	词组	目を向ける	看
ねをおろす	词组	根をおろす	扎根
よをしのぶ	词组	世を忍ぶ	隐姓埋名，隐居
れっきとした	词组	歴とした	明显的；（身份门第）体面的
きゅうしにいっしょうをえる	词组	九死に一生を得る	九死一生
みわけがつく	词组	見分けがつく	辨别出来
はかりしれない	词组	計り知れない	不可估量
おきます	词组	起きます	起床
まどをあけます	词组	窓を開けます	开窗
かおをあらいます	词组	顔を洗います	洗脸
はをみがきます	词组	歯を磨きます	刷牙
かみをとかします	词组	髪をとかします	梳头
ふくをきます	词组	服を着ます	穿衣服
おちゃをいれます	词组	お茶を入れます	沏茶，泡茶
おちゃをのみます	词组	お茶を飲みます	喝茶
ごはんをたべます	词组	ご飯を食べます	吃饭
タバコをすいます	词组	タバコを吸います	抽烟
しんぶんをよみます	词组	新聞を読みます	看报纸
くつをはきます	词组	靴を履きます	穿鞋
ドアをしめます	词组	ドアを閉めます	关门
かぎをかけます	词组	鍵をかけます	锁门
ごみをだします	词组	ゴミを出します	扔垃圾
かいしゃへいきます	词组	会社へ行きます	去公司
きっぷをかいます	词组	切符を買います	买车票
ざっしをよみます	词组	雑誌を読みます	看杂志
おんがくをききます	词组	音楽を聞きます	听音乐
メールをだします	词组	メールを出します	看电子邮件
しょるいをよみます	词组	書類を読みます	看文件
てがみをかきます	词组	手紙を書きます	写信
きってをはります	词组	切手をはります	贴邮票
てがみをだします	词组	手紙を出します	发信
でんわをかけます	词组	電話をかけます	打电话
ファックスをおくります	词组	ファックスを送ります	发传真
しりょうをつくります	词组	資料を作ります	作资料
ぎんこうへいきます	词组	銀行へ行きます	去银行
おかねをはらいます	词组	お金お払います	付款
くるまをあらいます	词组	車を洗います	洗车
しゃしんをとります	词组	写真を撮ります	拍照片
いえへかえります	词组	家へ帰ります	回家
かぎをあけます	词组	鍵を開けます	开锁
ドアをあけます	词组	ドアを開けます	开门
くつをぬぎます	词组	靴を脱ぎます	脱鞋
ふくをぬぎます	词组	服を脱ぎます	脱衣服
でんきをつけます	词组	電気をつけます	开灯
テレビをみます	词组	テレビを見ます	开电视
テレビをつけます	词组	テレビをつけます	看电视
りょうりをつくります	词组	料理を作ります	做饭
シャワーをあびます	词组	シャワーを浴びます	洗淋浴
からだをあらいます	词组	体を洗います	洗澡
あたまをあらいます	词组	頭を洗います	洗头发
まどをしめます	词组	窓を閉めます	关窗
でんきをけします	词组	電気消します	关灯
ねます	词组	寝ます	睡觉

