假名	词性	汉字	含义
ひと	代词	人	人
ともだち	代词	友達	朋友
かれ	代词	彼	他，男朋友，情人
かのじょ	代词	彼女	她，女朋友，情人
かぞく	代词	家族	家人，家属
ひとりで	代词	一人で	一个人，独自
せんしゅう	代词	先週	上周，上星期
こんしゅう	代词	今週	本周，这星期
らいしゅう	代词	来週	下周，下星期
せんげつ	代词	先月	上个月
こんげつ	代词	今月	这个月
らいげつ	代词	来月	下个月
きょねん	代词	去年	去年
ことし	代词	ことし	今年
らいねん	代词	来年	明年
…がつ	代词	…月	…月
なんがつ	代词	何月	几月
ついたち	代词	1日	1日，1号
ふつか	代词	2日	2日，2号
みっか	代词	3日	3日，3号
よっか	代词	4日	4日，4号
いつか	代词	5日	5日，5号
むいか	代词	6日	6日，6号
なのか	代词	7日	7日，7号
ようか	代词	8日	8日，8号
ここのか	代词	9日	9日，9号
とおか	代词	10日	10日，10号
じゅうよっか	代词	14日	14日，14号
はつか	代词	20日	20日，20号
にじゅうよっか	代词	24日	24日，24号
…にち	代词	…日	…日，…号
なんにち	代词	何日	几日，几号
いつ	代词	いつ	什么时候
たんじょうび	代词	誕生日	生日
ふつう	代词	普通	普通车
きゅうこう	代词	急行	快车
つぎの	代词	次の	下一个，下一次
たべます	代词	食べます	吃
のみます	代词	飲みます	吃（药）、服（药）［くすりを～］［薬を～］
すいます	代词	吸います	吸（烟）［たばこを～］
みます	代词	見ます	看
ききます	代词	聞きます	问〔老师〕［せんせいに～］［先生に～］
よみます	代词	読みます	阅读
かきます	代词	書きます	书写
かいます	代词	買います	购买
とります	代词	撮ります	拍（照），（摄影）［しゃしんを～］［写真を～］
します	代词	します	做
あいます	代词	会います	遇见，碰见（朋友）［ともだちに～］［友達に～］
ごはん	代词	ごはん	餐，米饭
あさごはん	代词	朝ごはん	早餐
ひるごはん	代词	昼ごはん	中餐
ばんごはん	代词	晩ごはん	晚餐
パン	代词	パン	面包
たまご	代词	卵	鸡蛋
にく	代词	肉	肉
さかな	代词	魚	鱼
やさい	代词	野菜	蔬菜
くだもの	代词	果物	水果
みず	代词	水	水
おちゃ	代词	お茶	茶道
こうちゃ	代词	紅茶	红茶
ぎゅうにゅう	代词	牛乳	牛奶（ミルク）
ジュース	代词	ジュース	果汁
ビール	代词	ビール	啤酒
［お］さけ	代词	［お］酒	酒类，日本酒
ビデオ	代词	ビデオ	录影带，录影机
えいが	代词	映画	电影
CD	代词	CD	CD，雷射唱盘
てがみ	代词	手紙	信
レポート	代词	レポート	报告
しゃしん	代词	写真	相片
みせ	代词	店	商店
レストラン	代词	レストラン	餐厅
にわ	代词	庭	院子
しゅくだい	代词	宿題	作业（～をします：做作业）
テニス	代词	テニス	网球（～をします：打网球）
サッカー	代词	サッカー	足球（～をします：踢足球）
［お］はなみ	代词	［お］花見	赏花（～をします：去赏花）
なに	代词	何	什么
いっしょに	代词	いっしょに	一起
ちょっと	代词	ちょっと	一下子，稍
いつも	代词	いつも	总是
ときどき	代词	時々	时常，有时
それから	代词	それから	然后
ええ	代词	ええ	是，嗯（表赞同）
いいですね。	代词	いいですね。	好呀。
わかりました。	代词	わかりました。	我明白了。/我知道了。
きります	代词	切ります	剪，切
おくります	代词	送ります	送〔人〕［ひとを～］［人を～］
あげます	代词	あげます	给，送
もらいます	代词	もらいます	接受，得到
かします	代词	貸します	借（出）
かります	代词	借ります	借（入）
おしえます	代词	教えます	告诉〔地址〕［じゅうしょを～］［住所を～］
ならいます	代词	習います	学习
かけます	代词	かけます	戴〔眼镜〕［めがねを～］［眼鏡を～］
て	代词	手	手
はし	代词	はし	筷子
スプーン	代词	スプーン	汤匙
ナイフ	代词	ナイフ	小刀
フォーク	代词	フォーク	叉子
はさみ	代词	はさみ	剪刀
ファクス	代词	ファクス	传真
ワープロ	代词	ワープロ	文字处理机
パソコン	代词	パソコン	个人电脑
パンチ	代词	パンチ	打孔机
ホッチキス	代词	ホッチキス	订书机
セロテープ	代词	セロテープ	透明胶带
けしゴム	代词	消しゴム	橡皮擦
かみ	代词	紙	纸
はな	代词	花	花
シャツ	代词	シャツ	衬衫
プレゼント	代词	プレゼント	礼物
にもつ	代词	荷物	行李
おかね	代词	お金	钱
きっぷ	代词	切符	票
クリスマス	代词	クリスマス	圣诞节
ちち	代词	父	家父
はは	代词	母	家母
おとうさん	代词	お父さん	（他人的）父亲
おかあさん	代词	お母さん	（他人的）母亲
もう	代词	もう	已经
まだ	代词	まだ	尚未，还没有
これから	代词	これから	从现在起，这就
「～、」すてきですね。	代词	「～、」すてきですね。	〔～〕，好棒哟！
ハンサム［な］	代词	ハンサム［な］	英俊〔的〕
おげんきですか。	代词	お元気ですか。	你好吗？
そうですね。	代词	そうですね。	是呀。（表赞成）
きれい［な］	代词	きれい［な］	美丽（的），干净（的）
しずか［な］	代词	静か［な］	安静（的）
にぎやか［な］	代词	にぎやか［な］	热闹的
ゆうめい［な］	代词	有名［な］	有名〔的〕
しんせつ［な］	代词	親切［な］	亲切（的）
げんき［な］	代词	元気［な］	身体好（的）
ひま［な］	代词	暇［な］	空闲（的）
べんり［な］	代词	便利［な］	方便〔的〕
すてき［な］	代词	すてき［な］	很好〔的〕，很棒〔的〕
おおきい	代词	大きい	大
ちいさい	代词	小さい	小
あたらしい	代词	新しい	新
ふるい	代词	古い	旧
いい（よい）	代词	いい（よい）	好
わるい	代词	悪い	坏
あつい	代词	暑い、熱い	热
さむい	代词	寒い	寒冷
つめたい	代词	冷たい	凉
むずかしい	代词	難しい	难
やさしい	代词	易しい	简单
たかい	代词	高い	高，贵
やすい	代词	安い	便宜
ひくい	代词	低い	低，矮
おもしろい	代词	おもしろい	有趣，有意思
おいしい	代词	おいしい	美味，好吃
いそがしい	代词	忙しい	忙碌
たのしい	代词	楽しい	愉快，高兴
しろい	代词	白い	白色的
くろい	代词	黒い	黑色的
あかい	代词	赤い	红色的
あおい	代词	青い	蓝色的
さくら	代词	桜	櫻花
やま	代词	山	山
まち	代词	町	城市，城镇
たべもの	代词	食べ物	食物
くるま	代词	車	汽车
ところ	代词	所	场所，地方
りょう	代词	寮	宿舍
べんきょう	代词	勉強	学习，用功
せいかつ	代词	生活	生活
［お］しごと	代词	［お］仕事	工作，职业（～をします：工作）
どう	代词	どう	怎样
どんな～	代词	どんな～	什么样的～
どれ	代词	どれ	哪个
とても	代词	とても	很，非常
あまり	代词	あまり	不太（用于否定句）
そして	代词	そして	而且，还用（用于接续句子）
～が、～	代词	～が、～	～，但是～
わかります	代词	わかります	了解，明白，懂
あります	代词	あります	【自动词・五段/一类】 偶遇，碰见；遭遇，碰上不愉快的事情
すき［な］	代词	好き［な］	喜欢（的），爱好（的）
きらい［な］	代词	嫌い［な］	讨厌（的），不喜欢（的）
じょうず［な］	代词	上手［な］	好（的），高明（的）
へた［な］	代词	下手［な］	不行〔的〕，笨拙〔的〕
りょうり	代词	料理	料理，菜
のみもの	代词	飲み物	饮料
スポーツ	代词	スポーツ	运动，体育（～をします：做运动）
やきゅう	代词	野球	棒球（～をします：打棒球）
ダンス	代词	ダンス	跳舞，舞蹈（～をします：跳舞）
おんがく	代词	音楽	音乐
うた	代词	歌	歌曲，歌
クラシック	代词	クラシック	古典音乐
ジャズ	代词	ジャズ	爵士乐
コンサート	代词	コンサート	音乐会，演奏会
カラオケ	代词	カラオケ	卡拉OK
かぶき	代词	歌舞伎	歌舞伎(日本的传统戏剧）
え	代词	絵	画
じ	代词	字	字
かんじ	代词	漢字	汉字
ひらがな	代词	ひらがな	平假名
かたかな	代词	かたかな	片假名
ローマじ	代词	ローマ字	罗马拼音
こまかい(おかね)	代词	細かい(お金)	零钱
チケット	代词	チケット	票
じかん	代词	時間	时间
ようじ	代词	用事	（必须办的）事情，工作
やくそく	代词	約束	约定，承诺
ごしゅじん	代词	ご主人	（他人的）丈夫
おっと／しゅじん	代词	夫／主人	（自己的）丈夫
おくさん	代词	奥さん	（他人的）妻子
つま／かない	代词	妻／家内	（自己的）妻子
こども	代词	子ども	小孩
よく	代词	よく	经常
だいたい	代词	だいたい	大致，大概
たくさん	代词	たくさん	很多
すこし	代词	少し	少，稍微
ぜんぜん	代词	全然	完全，一点也（用于否定句）
はやく	代词	早く、速く	早些，快些
～から	代词	～から	因为～
ざんねんです［ね］。	代词	残念です［ね］	真遗憾（呀）。
すみません。	代词	すみません。	很抱歉。
います	代词	います	在〔日本〕［にほんに～］［日本に～］
あります	代词	あります	【自动词・五段/一类】 偶遇，碰见；遭遇，碰上不愉快的事情
いろいろ〔な〕	代词	いろいろ〔な〕	各式各样〔的〕
おとこの	代词	ひと男の人	男子
おんなの	代词	ひと女の人	女子
おとこの	代词	男の子	男孩
おんなの	代词	こ女の子	女孩
いぬ	代词	犬	狗
ねこ	代词	猫	猫
き	代词	木	树，木头
もの	代词	物	物品，东西
フィルム	代词	フィルム	底片，胶卷
でんち	名词	電池	电池
はこ	代词	箱	盒子
スイッチ	代词	スイッチ	开关
れいぞうこ	代词	冷蔵庫	冰箱
テーブル	代词	テーブル	餐桌
べッド	代词	べッド	床
たな	代词	棚	架子
ドア	代词	ドア	门
まど	代词	窓	窗戶
ポスト	代词	ポスト	邮筒，信箱
ビル	代词	ビル	大厦，大楼
こうえん	代词	公園	公园
きっさてん	代词	喫茶店	咖啡馆
ほんや	代词	本屋	书店
ケーキや	名词	～屋	蛋糕店
のりば	代词	乗り場	搭乘火车、计程车等交通工具的场所
けん	代词	県	县
うえ	代词	上	上，上面
した	代词	下	下，下面
まえ	代词	前	前，前面
うしろ	代词	うしろ	后，后面
みぎ	代词	右	右（边）
ひだり	代词	左	左（边）
なか	代词	中	里面，中间
そと	代词	外	外面
となり	代词	隣	隔壁，旁边
ちかく	代词	近く	附近
あいだ	名词	間	当中，之间，期间
～や～〔など〕	代词	～や～〔など〕	～啦～〔等〕
いちばん～	代词	いちばん～	最～（いちばんうえ：最上面，最高)
…だんめ	代词	…段目	第…层（架子的第…层）
います	代词	います	在〔日本〕［にほんに～］［日本に～］
います	代词	います	在〔日本〕［にほんに～］［日本に～］
かかります	代词	かかります	花费（金钱或时间）
やすみます	代词	休みます	向〔公司〕请假［かいしゃを～］［会社を～］
ひとつ	代词	1つ	一个（用于计算物品）
ふたつ	代词	2つ	二个
みっつ	代词	3つ	三个
よっつ	代词	4つ	四个
いつつ	代词	5つ	五个
むっつ	代词	6つ	六个
ななつ	代词	7つ	七个
やっつ	代词	8つ	八个
ここのつ	代词	9つ	九个
とお	代词	10つ	十个
いくつ	代词	いくつ	几个
ひとり	代词	1人	一个人
ふたり	代词	2人	二个人
…にん	代词	…人	…个人
…だい	代词	…だい	…台（用于计算机械、车辆等机械类时）
…まい	代词	…まい	…枚（用于计算纸张、邮票等薄的物品时）
…かい	代词	…回	…次
りんご	代词	りんご	苹果
みかん	代词	みかん	桔子
サンドイッチ	名词	サンドイッチ	三明治
カレー［ライス］	代词	カレー［ライス］	咖哩〔饭〕
アイスクリーム	代词	アイスクリーム	冰淇淋
きって	代词	切手	邮票
はがき	代词	はがき	明信片
ふうとう	代词	封筒	信封
そくたつ	代词	速達	限时信
かきとめ	代词	書留	挂号信
エアメール	代词	エアメール	航空邮件，航空信（こうくうびん）（航空便）
ふなびん	代词	船便	船运
りょうしん	代词	両親	双亲
きょうだい	代词	兄弟	兄弟姐妹
あに	代词	兄	（我）哥哥
おにいさん	代词	お兄さん	（他人的）哥哥
あね	代词	姉	（我）姐姐
おねえさん	代词	お姉さん	（他人的）姐姐
おとうと	代词	弟	（我）弟弟
おとうとさん	代词	弟さん	（他人的）弟弟
いもうと	代词	妹	（我）妹妹
いもうとさん	代词	妹さん	（他人的）妹妹
がいこく	代词	外国	外国
…じかん	代词	…時間	…小时
…しゅうかん	代词	…週間	…星期
…かげつ	代词	…か月	…个月
…ねん	代词	…年	…年
～ぐらい	代词	～ぐらい	～左右
どのぐらい	代词	どのぐらい	多久
ぜんぶで	代词	全部で	一共
みんな	代词	みんな	全部，全体
～だけ	代词	～だけ	只～，仅～
いらっしゃいませ。	代词	いらっしゃいませ。	欢迎光临（商店、行号在顾客光临时用）
かんたん［な］	代词	簡単［な］	简单，单纯
ちかい	代词	近い	近
とおい	代词	遠い	远
はやい	代词	速い、早い	快，早
おそい	代词	遅い	慢，晚
おおい	代词	多い	〔人〕多，多［ひとが～］［人が～］
すくない	代词	少ない	〔人〕少，少［ひとが～］［人が～］
あたたかい	代词	暖かい、温かい	温暖，温热
すずしい	代词	涼しい	凉
あまい	代词	甘い	甜
からい	代词	辛い	辣，咸
おもい	代词	重い	重
かるい	代词	軽い	轻
いい	代词	いい	好（咖啡）［コーヒーが～］
きせつ	代词	季節	季节
はる	代词	春	春
なつ	代词	夏	夏
あき	代词	秋	秋
ふゆ	代词	冬	冬
てんき	代词	天気	天气
あめ	代词	雨	雨，下雨
ゆき	代词	雪	雪，下雪
くもり	代词	曇り	阴天
ホテル	代词	ホテル	饭店，旅馆
くうこう	代词	空港	机场
うみ	代词	海	海
せかい	代词	世界	世界
パーティー	代词	パーティー	舞会，餐会（～をします：办舞会）
［お］まつり	代词	［お］祭り	节庆，庆典
しけん	代词	試験	考试
すきやき	代词	すき焼き	鸡素烧（牛肉和蔬菜的火锅）
さしみ	代词	刺身	生鱼片
［お］すし	代词	［お］すし	寿司
てんぷら	代词	てんぷら	天妇罗
いけばな	代词	生け花	花道，插花（～をします：插花）
もみじ	代词	紅葉	红叶（秋天的各种变色叶）
どちら	代词	どちら	哪边（自二选一）
どちらも	代词	どちらも	二者都
ずっと	代词	ずっと	～得多，～得很
はじめて	代词	初めて	第一次
あそびます	代词	遊びます	玩，游乐
およぎます	代词	泳ぎます	游泳
むかえます	代词	迎えます	迎接，欢迎
つかれます	代词	疲れます	疲累
だします	代词	出します	提交〔报告〕［レポートを～］
はいります入ります	代词	はいります入ります	进入〔咖啡馆〕［きっさてんに～］［喫茶店に～］
でます出ます	代词	でます出ます	出〔咖啡馆〕［きっさてんを～］［喫茶店を～］
けっこんします	代词	結婚します	结婚
かいものします	代词	買い物します	购物，买东西
しょくじします	代词	食事します	用餐，吃饭
さんぽします	代词	散歩します	〔在公园〕散步
たいへん［な］	代词	大変［な］	重大〔的〕
ほしい	代词	欲しい	想要（某事物）
さびしい	代词	寂しい	孤独，寂寞
ひろい	代词	広い	宽广，广阔
しやくしょ	代词	市役所	市政府
プール	代词	プール	游泳池
かわ	代词	川	河川
けいざい	代词	経済	经济
びじゅつ	代词	美術	美术
つり	代词	釣り	钓鱼（～をします：钓魚）
スキー	代词	スキー	滑雪（～をします：滑雪）
かいぎ	代词	会議	会议（～をします：开会）
とうろくする	名词	登録	登记，注册
しゅうまつ	代词	週末	周末
～ごろ～	代词	～ごろ～	左右（用于时间)
なにか	代词	何か	某事物
どこか	代词	どこか	某处，某场所
おなかがすきました。	代词	おなかがすきました。	肚子饿了。
おなかがいっぱいです。	代词	おなかがいっぱいです。	吃饱了。
のどがかわきました。	代词	のどがかわきました。	口渴了。
そうですね。	代词	そうですね。	是呀。（表赞成）
そうしましょう。	代词	そうしましょう。	就这么办吧（表示同意他人的意见）
つけます	代词	つけます	打开（电灯、冷气等）
けします	代词	消します	关掉（电灯、冷气等）
あけます	代词	開けます	打开（门、窗等）
しめます	代词	閉めます	关闭（门、窗等）
いそぎます	代词	急ぎます	赶快，着急
まちます	代词	待ちます	等
とめます	代词	止めます	停止，停车
まがります	代词	曲がります	转向〔右边〕［みぎへ～］［右へ～］
もちます	代词	持ちます	持有，携带
とります	代词	取ります	上（年纪）［としを～］［年を～］
てつだいます	代词	手伝います	帮忙，帮助
よびます	代词	呼びます	呼叫，呼唤
はなします	代词	話します	讲，说
みせます	代词	見せます	出示，让人看
おしえます	代词	教えます	告诉〔地址〕［じゅうしょを～］［住所を～］
はじめます	代词	始めます	开始
おります	代词	降ります	下〔电车〕［でんしゃを～］［電車を～］
コピーします	代词	コピーします	影印
エアコン	名词	エアコン	空调
パスポート	代词	パスポート	护照
なまえ	代词	名前	名字，姓名
じゅうしょ	代词	住所	地址，住址
ちず	代词	地図	地图
しお	代词	塩	盐
さとう	代词	砂糖	砂糖
よみかた	代词	読み方	念法，读法
～かた	代词	～方	～方式
ゆっくり	代词	ゆっくり	慢慢地
すぐ	代词	すぐ	马上，立刻
また	代词	また	再，又
あとで	代词	あとで	等一下，稍后
もうすこし	代词	もう少し	再多一些
もう～	代词	もう～	再～，另外的～
いいですよ。	代词	いいですよ。	好呀。／可以呀。
さあ	代词	さあ	好啦（提议做某事时用）
あれ？	代词	あれ？	什么？（表示惊讶）
たちます	代词	立ちます	站，立
すわります	代词	座ります	坐
つかいます	代词	使います	使用，用
おきます	代词	置きます	放置，摆放
つくります	代词	作ります、造ります	做，制造
うります	代词	売ります	卖，销售
しります	代词	知ります	得知
すみます	代词	住みます	居住
けんきゅうします	代词	研究します	研究
しっています	代词	知っています	知道
すんでいます	代词	住んでいます	居住〔在大阪〕［おおさかに～］［大阪に～］
しりょう	代词	資料	资料
カタログ	代词	カタログ	产品目录
じこくひょう	代词	時刻表	时刻表
ふく	代词	服	衣服
せいひん	代词	製品	产品
ソフト	代词	ソフト	柔软，软和；软件，程序
せんもん	代词	専門	专业，专长
はいしゃ	名词	歯医者	牙医
とこや	代词	床屋	理发店，理发师
プレイガイド	代词	プレイガイド	（剧场等的）预售
どくしん	名词	独身	单身
のります	代词	乗ります	搭乘〔电车〕［でんしゃに～］［電車に～］
おります	代词	降ります	下〔电车〕［でんしゃを～］［電車を～］
のりかえます	代词	乗り換えます	换车
あびます	代词	浴びます	冲〔淋浴〕［シャワーを～］
いれます	代词	入れます	放入，放进
だします	代词	出します	提交〔报告〕［レポートを～］
はいります	代词	入ります	洗澡［おふろに～］
でます	代词	出ます	〔零钱〕出来［おつりが～］［お釣りが～］
やめます	代词	やめます	〔职〕，停止，放弃［かいしゃを～］［会社を～］
おします	代词	押します	推，按
わかい	代词	若い	年轻
ながい	代词	長い	长
みじかい	代词	短い	短
あかるい	代词	明るい	明亮
くらい	代词	暗い	昏暗
せがたかい	代词	背が高い	个子高
あたまがいい	代词	頭がいい	头脑好，聪明
からだ	代词	体	身体
あたま	代词	頭	头
かみ	代词	髪	头发
かお	代词	顔	脸
め	代词	目	眼睛
みみ	代词	耳	耳朵
くち	代词	口	嘴巴
は	代词	歯	牙齿
おなか	代词	おなか	肚子
あし	代词	足	脚，腿
サービス	代词	サービス	服务
ジョギング	代词	ジョギング	慢跑（～をします：慢跑）
シャワー	代词	シャワー	淋浴
みどり	代词	緑	绿色，绿意
［お］てら	代词	［お］寺	寺庙
じんじゃ	名词	神社	神社
りゅうがくせい	代词	留学生	留学生
…ばん	代词	…番	…号
どうやって	代词	どうやって	怎样，如何
どの～	代词	どの～	哪个～（用于三者或以上）
［いいえ、］まだまだです。	代词	［いいえ、］まだまだです。	（不,〕还不行。还差得远。
おぼえます	代词	覚えます	记住
わすれます	代词	忘れます	忘记
なくします	代词	なくします	遗失
だします	代词	出します	提交〔报告〕［レポートを～］
はらいます	代词	払います	支付，付款
かえします	代词	返します	归还，还
でかけます	代词	出かけます	出门，外出
ぬぎます	代词	脱ぎます	脱（衣服、鞋等）
もっていきます	代词	持って行きます	带（某物）去
もってきます	代词	持って来ます	带（某物）来
しんぱいします	代词	心配します	担心
ざんぎょうします	代词	残業します	加班
しゅっちょうします	代词	出張します	出差
のみます	代词	飲みます	吃（药）、服（药）［くすりを～］［薬を～］
はいります	代词	入ります	洗澡［おふろに～］
たいせつ［な］	代词	大切［な］	重要的
だいじょうぶ［な］	代词	大丈夫［な］	放心，没关系的
あぶない	代词	危ない	危险
もんだい	代词	問題	问题
こたえ	代词	答え	回答
きんえん	代词	禁煙	禁烟
［けんこう］ほけんしょう	代词	［健康］保険証	健康保险证
かぜ	代词	かぜ	感冒
ねつ	代词	熱	发烧
びょうき	代词	病気	病，生病
くすり	代词	薬	药
［お］ふろ	代词	［お］ふろ	洗澡
うわぎ	代词	上着	上衣
したぎ	名词	下着	内衣，衬衣
せんせい	代词	先生	医师（对医生的称呼）
2、3にち	代词	2、3日	两三天
2、3～	代词	2、3～	二三～（用于不定数量的计算）
～までに	代词	～までに	～在之前（表示时间的期限）
ですから	代词	ですから	所以，因此
できます	代词	できます	会，能够，可以
あらいます	代词	洗います	洗
ひきます	代词	弾きます	弹（钢琴等）
うたいます	代词	歌います	唱
あつめます	代词	集めます	收集
すてます	代词	捨てます	丢掉，舍弃
かえます	代词	換えます	交换，变换
うんてんします	代词	運転します	驾驶
よやくします	代词	予約します	预约
けんがくします	代词	見学します	参观见习
ピアノ	代词	ピアノ	钢琴
…メートル	代词	…メートル	…公尺
こくさい～	代词	国際～	国际～
げんきん	代词	現金	现金
しゅみ	代词	趣味	爱好，嗜好
にっき	代词	日記	日记
［お］いのり	代词	［お］祈り	祈祷（～をします：祈祷）
かちょう	代词	課長	课长，科长
ぶちょう	代词	部長	经理，部长
しゃちょう	代词	社長	总经理，社长
のぼります	代词	登ります	登，爬〔山〕［やまに～］［山に～］
とまります	代词	泊まります	住（饭店）［ホテルに～］
そうじします	代词	掃除します	打扫
せんたくします	代词	洗濯します	洗衣服
れんしゅうします	代词	練習します	练习
