假名	词性	汉字	含义
ちゅうごく	动3	中国	（日本的）中国地区
くる	动3	来る	来
しょっき	动3	食器	餐具
する	动3	する	做，干，办
けんぶつする	动3	見物する	参观
りょこうする	动3	旅行する	旅行
かびん	动3	花瓶	花瓶
きんかくじ	动3	金閣寺	金阁寺
しゅっきんする	动3	出勤する	上班
りようする	动3	利用する	利用
ちゅうもんする	动3	注文する	要；订货，订菜
おねがいする	动3	お願いする	请你
しんさつ	动3	診察	看病．检查．诊察
うんてんする	动3	運転する	开
しんぽする	动3	進歩する	进步，提高
こんざつする	动3	混雑する	拥挤
しゅっぱつする	动3	出発する	出发，动身
そうじする	动3	掃除する	打扫，扫除
ほぞんする	动3	保存する	保存
かいせつする	动3	解説する	解说
やるき	动3	やる気	干劲儿
えんそうする	动3	演奏	演奏
じょうたつする	动3	上達する	进步，长进
ごちそうする	动3	ごちそうする	款待，招待
よういする	动3	用意する	准备
ごうかくする	动3	合格する	合格，及格
くむ	动3	組む	计划，安排，编制，编排
ちこくする	动3	遅刻する	迟到
かんそうする	动3	乾燥する	干燥
てきする	动3	適する	适应
いんさつする	动3	印刷する	印刷
けっせきする	动3	欠席する	缺席
しゅっせき	动3	出席	出席
がくしゅうする	动3	学習する	学习
がまんする	动3	我慢する	忍耐
そつぎょうする	动3	卒業する	毕业
ごうけいする	动3	合計する	合计
びっくりする	动3	びっくりする	吃惊
ほっとする	动3	ほっとする	松一口气
のうりつ	动3	能率	效率
はいぞくする	动3	配属する	分配
べんしょうする	动3	弁償する	赔偿
めいわくする	动3	迷惑する	觉得麻烦，为难
コピーする	动3	コピーする	复印，复制
だっしゅつする	动3	脱出する	离开，逃离
きせいする	动3	帰省する	回乡省亲
しゅくはくする	动3	宿泊	住宿，投宿
はかいする	动3	破壊する	破坏
つうようする	动3	通用する	通用
のりおりする	动3	乗り降りする	上下(车)
せいびする	动3	整備する	备齐，铺设
とうちゃくする	动3	到着する	到达
しゅっちょうする	动3	出張する	出差
しんぱいする	动3	心配する	担心
かんせいする	动3	完成する	完成
たんじょうする	动3	誕生する	诞生
たっする	动3	達する	达到
げんしょうする	动3	減少する	减少
ようじ	动3	幼児	幼儿，婴儿
おせんする	动3	汚染する	污染
そうぞうする	动3	想像する	想象
スケッチする	动3	スケッチする	速写
じつげんする	动3	実現する	实现
にゅうしょうする	动3	入賞する	得奖
かんそく	动3	観測	观测
ひょうかする	动3	評価する	评价
はっきする	动3	発揮する	发挥
せとないかい	动3	瀬戸内海	濑户内海
てんめつする	动3	点滅する	忽亮忽灭
かいりょうする	动3	改良する	改良
とうせんする	动3	当選する	当选
さっとうする	动3	殺到する	涌向，蜂拥而至
はあくする	动3	把握する	掌握
てきちゅする	动3	的中する	命中，准确
おそれ	动3	恐れ	恐惧，害怕
らくだいする	动3	落第する	不及格
きていする	动3	規定する	规定
すいそくする	动3	推測する	预计，推测
ふようする	动3	扶養する	抚养
かくごする	动3	覚悟する	作精神准备
べっきょする	动3	別居する	分居
しょうれいする	动3	奨励する	鼓励，奖励
たいおうする	动3	対応する	应付
はいし	动3	廃止	废除
つうがくする	动3	通学する	上学
むしする	动3	無視する	忽视，无视
さゆうする	动3	左右する	左右，支配
いえでする	动3	家出する	离家出走
がいしゅつする	动3	外出する	外出
ひょうめいする	动3	表明する	表明
ていちゃくする	动3	定着する	固定
りかいする	动3	理解する	理解
ゆにゅうする	动3	輸入する	输入，进口
はんらんする	动3	氾濫する	泛滥，充斥
ピンク	动3	ピンク	粉红色，桃红色
する	动3	する	做，干，办
くる	动3	来る	来
ご	动3	碁	围棋
えんそうする	动3	演奏	演奏
れい	动3	礼	谢意，礼仪，礼貌，礼节
せんたくする	动3	選択	选择
ぼしゅうする	动3	募集	征集，寡集，招募
しゃかい	动3	社会	社会
ねっする	动3	熱する	弄热，加热
しゅっせき	动3	出席	出席
かびん	动3	花瓶	花瓶
しょっき	动3	食器	餐具
なかじま	动3	中島	中岛
しょうこ	动3	証拠	证据
しんさつ	动3	診察	看病．检查．诊察
このむ	动3	好む	喜欢，爱好
ていきょうする	动3	提供	提供
はっしゃする	动3	発車	发车，开车
つかまる	动3	捕まる	抓住，逮捕
さくせいする	动3	作成	写，作，制作
ひろうする	动3	披露	宣布，公布，公开
リラックス	动3	リラックス	放松，使…放松
たいする	动3	対する	对，对于
ぞくする	动3	属する	属于
しゅくはくする	动3	宿泊	住宿，投宿
かいてき	动3	快適	舒服，舒适，愉快
でんごんする	动3	伝言	带口信
かいしょうする	动3	解消	缓解，解除，取消，消灭
やってくる	动3	やってくる	来，来到
しょりする	动3	処理	处理，解决
ほかんする	动3	保管	保管，管理
こうはい	动3	後輩	后进，晚辈
のうか	动3	農家	农民，农家
ちゅうごく	动3	中国	（日本的）中国地区
じゅんじょ	动3	順序	顺序
こうしょう	动3	交渉	交涉，沟通
かんじる	动3	感じる	感到，感觉，感想
つかまる	动3	捕まる	抓住，逮捕
でんごんする	动3	伝言	带口信
さっぱり	动3	さっぱり	清爽；整洁，利落
げんしょうする	动3	減少	减少
ぬく	动3	抜く	超过，超出
とうじょうする	动3	登場	登场，出场
ちょうりする	动3	調理	烹饪，调理
はりきる	动3	張り切る	干劲十足，紧张；绷紧
たっする	动3	達する	达到
こうさいする	动3	交際	交往，交际
かさねる	动3	重ねる	反复，多次；摞，叠放
きょうしゅく	动3	恐縮	抱歉，对不起，过意不去
やまのぼり	动3	山登り	登山，爬山
ようじ	动3	幼児	幼儿，婴儿
じょじょに	动3	徐々に	渐渐，逐步
しせい	动3	姿勢	态度，姿态；姿势
しょうする	动3	称する	称为
かんそく	动3	観測	观测
かんする	动3	関する	关于，有关
ちょうせんする	动3	挑戦	挑战
つうじる	动3	通じる	相通，理解，通晓
はいし	动3	廃止	废除
へいぼん	动3	平凡	平凡，普通，平常
せっする	动3	接する	接近，连接，遇上
のう	动3	脳	脑，大脑
みとめる	动3	認める	承认，认可
はんする	动3	反する	相反；违反
しょうずる	动3	生ずる	生，长，产生，发生
おきにめす	动3	お気に召す	中意，合意
はんせいする	动3	反省	反省，反思
はら	动3	腹	腹部，肚子
こうかいする	动3	公開	公映，公开，开映；开放
そうきんする	动3	送金	寄钱，汇款
こんなん	动3	困難	困难
せっちする	动3	設置	设置，安装；设立
ちゅうごく	动3	中国	（日本的）中国地区
おじゃまします	动3	お邪魔します	打扰，拜访
そつぎょうします	动3	卒業します	毕业
せいりします	动3	整理します	整理
あんしんします	动3	安心します	安心，放心
れんらくします	动3	連絡します	联系
ごちそうします	动3	ごちそうします	请客，摆盛宴
きこくします	动3	帰国します	回国
かんしゃします	动3	感謝します	感谢
うんどうします	动3	運動します	运动
ほうこくします	动3	報告します	报告
ねぼうします	动3	寝坊します	睡懒觉
がいしゅつします	动3	外出します	外出，出去
とうさんします	动3	倒産します	倒闭，破产
じゅうたいします	动3	渋滞します	堵车，停滞
チェックします	动3	チェックします	确认
スケッチします	动3	スケッチします	素描，写生
はつげんします	动3	発言します	发言
ゆうしょうします	动3	優勝します	得冠军
ごうかくします	动3	合格します	及格，合格
やくそくします	动3	約束します	约定
かんびょうします	动3	看病します	护理
けんかします	动3	けんかします	吵架，打架
りようします	动3	利用します	利用
そうだんします	动3	相談します	商谈
こうかんします	动3	交換します	换，交换
ていしゅつします	动3	提出します	提交，提出
えんりょします	动3	遠慮します	客气
ちゅういします	动3	注意します	注意
シュートします	动3	シュートします	（足球）射门，投篮
しゅっぱつします	动3	出発します	出发
てんしょくします	动3	転職します	换工作
パンクします	动3	パンクします	轮胎爆裂，撑破
フリーズします	动3	フリーズします	死机
こしょうします	动3	故障します	故障
にゅうがくします	动3	入学します	入学
りゅうこうします	动3	流行します	流行
にゅういんします	动3	入院します	住院
おじゃまします	动3	お邪魔します	打扰，拜访
たんとうします	动3	担当します	承担
ほうもんします	动3	訪問します	拜访，访问
ちょきんします	动3	貯金します	存钱，储蓄
かんげいします	动3	歓迎します	欢迎
よういします	动3	用意します	准备
たいざいします	动3	滞在します	停留，滞留
きゅうけいします	动3	休憩します	休息
さんかします	动3	参加します	参加
かんぱいします	动3	乾杯します	干杯
しっぱいします	动3	失敗します	出岔子，失败
くろうします	动3	苦労します	辛苦，辛劳
びっくりします	动3	びっくりします	吃惊，吓一跳
しゅっせきします	动3	出席します	出席
しゅつじょうします	动3	出場します	参加，出场
つまみぐいします	动3	つまみ食いします	偷吃
かんさんします	动3	換算します	换算
ふくしゅうします	动3	復習します	复习
せいこうします	动3	成功します	成功
てつやします	动3	徹夜します	熬通宵，彻夜
やけどします	动3	火傷します	烫伤，烧伤
けっせきします	动3	欠席します	缺席
ゆにゅうします	动3	輸入します	进口，输入
かいつうします	动3	開通します	开通
かいちくします	动3	改築します	改建
かんせいします	动3	完成します	完成
にゅうしゃします	动3	入社します	入社
けいえいする	动3	経営～	经营
けんせつする	动3	建設～	修建，建设
ちゅうもくする	动3	注目～	注目．注视
かくにんする	动3	確認する	确认，核实
そんちょうする	动3	尊重する	尊重
ふにんする	动3	赴任する	赴任，上任
かんけいする	动3	関係する	有关系，关系，关联
へいてんする	动3	閉店する	(商店)关门
むしする	动3	無視する	忽视，无视
はってんする	动3	発展する	发展；扩展
がくしゅうする	动3	学習する	学习
すいせんする	动3	推薦する	推荐
しんがくする	动3	進学する	升学
しんにゅうする	动3	侵入する	闯入，侵入
がっかりする	动3	がっかりする	失望，灰心丧气
じっしする	动3	実施する	实施，施行
じかんにおわれる	动3	時間に追われる	被时间追赶
しょっき	动3	食器	餐具
のう	动3	脳	脑，大脑
かいめいする	动3	解明する	弄清楚，讲清楚，阐明
じゅしょうする	动3	受賞する	获奖，得奖
かいけつする	动3	解決する	解决
ゆらいする	动3	由来する	来源于，由来
ぶんるいする	动3	分類する	划分，分类
はんだんする	动3	判断する	判断
はっせいする	动3	発生する	发生
かんどうする	动3	感動する	感动
かつやくする	动3	活躍する	大显身手，活跃
せんこうする	动3	専攻する	专攻，专修
きんむする	动3	勤務する	工作，上班
しんらいする	动3	信頼する	信赖，相信
おしゃれする	动3	おしゃれする	打扮，装饰
かいこする	动3	解雇する	解雇
ちょうせいする	动3	調整する	调解，调整
ぼしゅうする	动3	募集	征集，寡集，招募
トマト	动3	トマト	番茄
かびん	动3	花瓶	花瓶
しんさつ	动3	診察	看病．检查．诊察
かいぎょうする	动3	改行	换行
ちょうせんする	动3	挑戦	挑战
せっちする	动3	設置	设置，安装；设立
えんそうする	动3	演奏	演奏
そうきんする	动3	送金	寄钱，汇款
こうさいする	动3	交際	交往，交际
しんぞう	动3	心臓	心脏
はりきる	动3	張り切る	干劲十足，紧张；绷紧
ししょくする	动3	試食	品尝，试餐
はんばいする	动3	販売	销售，出售
かくしんする	动3	確信	坚信，确信
さいようする	动3	採用～	采用，采纳
もうける	动3	儲ける	赚钱，发财
はっしゃする	动3	発射～	发射
～はく	动3	～泊	～晚
いらいら	动3	いらいら	焦躁不安，焦急
とうよう	动3	東洋	亚洲，东方，亚洲东部和东南部
このむ	动3	好む	喜欢，爱好
まんしつ	动3	満室	房间已满，无空房间，满员
くむ	动3	組む	计划，安排，编制，编排
たまたま	动3	たまたま	偶然，碰巧
らいしゃする	动3	来社	来（我）公司
お／ご～もうしあげる	动3	お／ご~申し上げる	恭～，敬～（自谦）
リラックスする	动3	リラックスする	放松，松弛；轻松
しゅくはくする	动3	宿泊	住宿，投宿
～じょ	动3	～所	～所，～站
ビタミン	动3	ビタミン	维生素，维他命
こうかいする	动3	公開	公映，公开，开映；开放
しゅえんする	动3	主演	主演
ひょうかする	动3	評価	评价
くべつする	动3	区別	区分，区别
ていきょうする	动3	提供	提供
ぬく	动3	抜く	超过，超出
とおす	动3	とおす	通过；穿过，穿通
ご	动3	碁	围棋
かんする	动3	関	关于，有关
かくとくする	动3	獲得	获得
とうじょうする	动3	登場	登场，出场
～むき	动3	～向き	适合～
ようじ	动3	幼児	幼儿，婴儿
どうこうする	动3	同行	同行，一起去
やまのぼり	动3	山登り	登山，爬山
さくせいする	动3	作成	写，作，制作
ひろうする	动3	披露	宣布，公布，公开
もうしょ	动3	猛暑	酷暑，炎热
ちゅうごく	动3	中国	（日本的）中国地区
かいしゃくする	动3	解釈	解释，说明
ほかんする	动3	保管	保管，管理
しんとうする	动3	浸透	渗透，渗入
～ほうげん	动3	～方言	～方言
わがくに	动3	我が国	我国
でんごんする	动3	伝言	带口信
しゅっぱんする	动3	出版	出版
げんしょうする	动3	減少	减少
たいする	动3	対する	对，对于
ゆにゅうしょくひん	动3	輸入食品	进口食品
れい	动3	礼	谢意，礼仪，礼貌，礼节
せんたくする	动3	選択	选择
てあらい	动3	手洗い	洗手
ちょうりする	动3	調理	烹饪，调理
～てん	动3	～店	～店
いはん	动3	違反	违反，违背
たいほする	动3	逮捕	逮捕
はくし	动3	白紙	白纸；空白纸；原始状态
きょしきする	动3	挙式	举行（结婚）仪式
じゅうびょうにん	动3	重病人	重症患者，重病患者，重病号
せいとう	动3	政党	政党
しいんする	动3	試飲	试饮
じょじょに	动3	徐々に	渐渐，逐步
そんざいする	动3	存在	存在
かいぞうする	动3	改造	改造，改建，改组
していする	动3	指定	指定
ほぞんする	动3	保存	保存
こんざいする	动3	混在	并存，混在一起
とうなんアジア	动3	東南～	东南亚
つかまる	动3	捕まる	抓住，逮捕
ピンク	动3	ピンク	粉红色，桃红色
おきにめす	动3	お気に召す	中意，合意
あつまり	动3	集まり	集合，汇合，汇集
ぞんずる	动3	存	打算，想；知道，认识
せいきゅうする	动3	請求	索要，请求，要求，索取
そうふする	动3	送付	寄送，发送，寄出
きょうしゅく	动3	恐縮	抱歉，对不起，过意不去
おめにかける	动3	お目にかける	出示，给人看
せとないかい	动3	瀬戸内海	濑户内海
マスク	动3	マスク	口罩；面具
はなこ	动3	花子	花子
ぜっこうする	动3	絶交	绝交
はんせいする	动3	反省	反省，反思
しょりする	动3	処理	处理，解决
つうかする	动3	通過	通过
よさんあん	动3	予算案	预算案
しゅうけつ	动3	終結	结束，终结
かんそく	动3	観測	观测
みとめる	动3	認める	承认，认可
せいねんがっぴ	动3	生年月日	出生年月日
つうがく	动3	通学	上学，走读
かいやくする	动3	解約	解约，解除合同，废约
しょうこ	动3	証拠	证据
こうしょう	动3	交渉	交涉，沟通
ぜんしんする	动3	前進	进展，前进
はっしゃする	动3	発車	发车，开车
さっさと	动3	さっさと	赶快地，麻利，快速，赶紧
おつかい	动3	お使い	打发出去（买东西、办事等）
はら	动3	腹	腹部，肚子
せいていする	动3	制定	制定
かいしょうする	动3	解消	缓解，解除，取消，消灭
あいこうする	动3	愛好	爱好
すいしんする	动3	推進	推广，促进，推进
けいげんする	动3	軽減	减轻
しゃかい	动3	社会	社会
のうやく	动3	農薬	农药
のうか	动3	農家	农民，农家
おきる	动2	起きる	起床
ねる	动2	寝る	睡，就寝
でかける	动2	出かける	到……去，出去
みる	动2	見る	看，观看
あげる	动2	あげる	给，送给
かける	动2	かける	架
たべる	动2	食べる	吃
かりる	动2	借りる	借
みせる	动2	見せる	给…看，显示
つとめる	动2	勤める	工作，做事
うける	动2	受ける	受欢迎
はれる	动2	はれる	肿
あける	动2	開ける	打开
きる	动2	着る	穿衣
つける	动2	つける	附加
かえる	动2	変える	换，改变
おくれる	动2	遅れる	迟到
できる	动2	できる	会，能
おしえる	动2	教える	教
でる	动2	出る	毕业，出来，走到
はじめる	动2	始める	开始
こたえる	动2	答える	回答
たずねる	动2	尋ねる	询问，打听
おとずれる	动2	訪れる	到来．来临．访问
ひろめる	动2	広める	推广；扩大
すぎる	动2	過ぎる	(时间)流逝，经过，过度
つれる	动2	連れる	带，领
にる	动2	煮る	煮，炖，熬，煨，焖
ゆでる	动2	ゆでる	焯
ふりかける	动2	振りかける	撒上
まぜる	动2	混ぜる	混，掺混
まぜあわせる	动2	混ぜ合わせる	掺混搅拌
もりつける	动2	盛り付ける	把饭菜很好地盛在器皿上
のせる	动2	載せる	放，搁；载，登载
そえる	动2	添える	添加
さわる	动2	さわる	碰
ふるえる	动2	震える	发抖
あらわれる	动2	現れる	出现
くだける	动2	くだける	用“くだける”的形式表示“随便的，不客气的”的意思
ぬれる	动2	濡れる	淋湿
くらしはじめる	动2	暮らし始める	开始生活
うまれる	动2	生まれる	诞生，出生
かける	动2	かける	架
つれる	动2	連れる	带，领
かける	动2	かける	架
やける	动2	焼ける	烧
かたりつたえる	动2	語り伝える	流传
ゆれる	动2	揺れる	摇动，摇晃
あわてる	动2	慌てる	惊慌，急忙
こうぎょう	动2	工業	工业
ほえる	动2	ほえる	狗叫
しはらう	动2	支払う	支付，付款
こわれる	动2	壊れる	坏，碎
わりきれる	动2	割り切れる	除得尽
おさえる	动2	押える	按住
あける	动2	空ける	留出，腾出
ひはん	动2	批判	批判，批评，评论
もうける	动2	設ける	制定，设置，设立
たてる	动2	立てる	弄响，扬起；立，竖；制定
たかめる	动2	高める	提高，抬高
つよめる	动2	強める	加强，增强
かためる	动2	固める	巩固
しんじる	动2	信じる	相信，深信，信赖
のびる	动2	伸びる	增加，扩大；伸展，变长
しょうぎ	动2	将棋	日本象棋
はなれる	动2	離れる	相隔，距离；分离，离开
ちぢめる	动2	縮める	缩短
あるきつづける	动2	歩き続ける	持续步行
わずか	动2	わずか	很少，一点点，仅仅
たしかめる	动2	確かめる	弄清，查明
とびおりる	动2	飛び降りる	跳下车
ぞんじる	动2	存じる	思う等的谦让语
さがしつづける	动2	探し続ける	继续寻找
じんるい	动2	人類	人类
ふえつづける	动2	増え続ける	继续增加
つげる	动2	告げる	宣告，告诉
たりる	动2	足りる	足，够
けしわすれる	动2	消し忘れる	忘记弄灭
あこがれる	动2	憧れる	憧憬
われる	动2	割れる	碎
おちる	动2	落ちる	掉下来，坠落
みなれる	动2	見慣れる	看惯，看熟
とげる	动2	遂げる	完成，达到
やせる	动2	やせる	瘦
たてる	动2	建てる	建造
みくらべる	动2	見比べる	比较
おきかえる	动2	置き換える	转换
たとえる	动2	たとえる	比方
くみあわせる	动2	組み合わせる	组合，编到一起
はずれる	动2	外れる	不准
のがれる	动2	逃れる	逃避
とらえる	动2	捕らえる	逮住，捕着，抓住
しらせる	动2	知らせる	通知，告知
きれる断	动2	切れる	断绝关系；断开，中断
しめる	动2	占める	占，占据；占领
こえる	动2	超える	超过
とりかえる	动2	取り替える	交换，更换
わかれる	动2	分かれる	分开，区分
となえる	动2	唱える	主张，提倡
ようやく	动2	ようやく	终于
こころみる	动2	試みる	尝试，试验
むすびつける	动2	結び付ける	（互相）结合，系上
つかいわける	动2	使い分ける	分别用，适当地使用
つかいなれる	动2	使い慣れる	用惯，用熟
にげる	动2	逃げる	逃跑，躲避
かきとめる	动2	書き留める	记下
かきくわえる	动2	書き加える	加写，添写
かきおえる	动2	書き終える	写完
しつれいします	动2	しつれいします	告辞
おきる	动2	起きる	起床
たべる	动2	食べる	吃
ねる	动2	寝る	睡，就寝
みる	动2	看る	看
でかける	动2	出掛ける	外出，出门
つかれる	动2	疲れる	疲倦，累
おぼえる	动2	覚える	记住，记得
うまれる	动2	生まれる	诞生，出生
むかえる	动2	迎える	迎接
たてる	动2	立てる	弄响，扬起；立，竖；制定
たずねる	动2	訪ねる	访问
みせる	动2	見せる	给…看，显示
きる	动2	着る	穿衣
しめる	动2	締める	系，束，系紧；结算
かける	动2	掛ける	挂
つとめる	动2	勤める	工作，做事
でる	动2	出る	毕业，出来，走到
はれる	动2	晴れる	晴天
ながれる	动2	流れる	流．流动．流淌
なげる	动2	投げる	投，扔，掷
いれる	动2	入れる	连…在内；放入
できる	动2	出来る	能，会，出产，做完
しょうぎ	动2	将棋	日本象棋
にる	动2	煮る	煮，炖，熬，煨，焖
つたえる	动2	伝える	告诉，传达，传给
うける	动2	受ける	受欢迎
ひきうける	动2	引き受ける	答应，接受；承担
はじめる	动2	始める	开始
かきはじめる	动2	書き始める	开始写
こたえる	动2	答える	回答
おしえる	动2	教える	教
つける	动2	つける	附加
あげる	动2	あげる	给，送给
かんがえる	动2	考える	考虑，思维
あける	动2	開ける	打开
ふかめる	动2	深める	加深，深化
きめる	动2	決める	决定
あらわす	动2	表す	表示，表现，表达
わかれる	动2	別れる	分手，离别
むすびつける	动2	結び付ける	（互相）结合，系上
わすれる	动2	忘れる	忘记
しらせる	动2	知らせる	通知，告知
はたらきつづける	动2	働き続ける	继续工作
あげる	动2	あげる	给，送给
さしあげる	动2	差し上げる	（比あげる更客气）给
くれる	动2	くれる	给（我）
あつめる	动2	集める	收集，召集，集中
のりかえる	动2	乗り換える	改乘，换车
やめる	动2	辞める	作罢，停，辞（职）
すぎる	动2	過ぎる	(时间)流逝，经过，过度
もうでる	动2	詣でる	参拜
つくりはじめる	动2	作り始める	开始作
いためる	动2	炒める	炒
とめる	动2	止める	关闭，止住，停下
のせる	动2	載せる	放，搁；载，登载
ふえる	动2	増える	增加
かりる	动2	借りる	借
うけいれる	动2	受け入れる	接受，采纳
たしかめる	动2	確かめる	弄清，查明
すぎる	动2	過ぎる	(时间)流逝，经过，过度
たび	动2	旅	旅行，旅游
ながめる	动2	眺める	看，眺望，观看
けが	动2	怪我	受伤，负伤
ならべる	动2	並べる	罗列，排列，摆
きこえる	动2	聞こえる	听见
かたづける	动2	片付ける	整理，收拾，处理
かける	动2	掛ける	挂
しめる	动2	閉める	关闭，合上
みえる	动2	見える	看得见
ひきとめる	动2	引き止める(引き留める)	挽留，留，制止
おくれる	动2	遅れる	迟到
つける	动2	付ける	涂，抹
あてる	动2	当てる	放，碰，猜到
あわせる	动2	合わせる	总共，合计，合并；配合
さめる	动2	冷める	（热的）东西变冷，（热情等）减退
のびる	动2	伸びる	增加，扩大；伸展，变长
かえる	动2	変える	换，改变
まちがえる	动2	間違える	弄错
もれる	动2	漏れる	漏，泄
きれる断	动2	切れる	断绝关系；断开，中断
たずねる	动2	尋ねる	询问，打听
つめる	动2	詰める	装到，装满，填满；挤紧
おりる	动2	降りる	（从高处或交通工具上）下来
またせる	动2	待たせる	让…等
こころがける	动2	心がける	留心，留意
ゆれる	动2	揺れる	摇动，摇晃
くみたてる	动2	組み立てる	组装，安装，装配
そだてる	动2	育てる	养育，抚育，培养
つれる	动2	連れる	带，领
ねむれる	动2	眠れる	能睡（着）觉
まかせる	动2	委せる	委托，托付
ほめる	动2	褒める	表扬，赞扬
いじめる	动2	苛める	欺负，虐待
のせる	动2	乗せる	诱人，骗人
つきつける	动2	突き付ける	放在眼前
すてる	动2	捨てる	扔掉，丢弃
にる	动2	似る	像，似
とげる	动2	遂げる	完成，达到
ぼける	动2	惚ける	衰老
ふくめる	动2	含める	包括，含有，包含
すすめる	动2	勧める	劝，劝告
そろえる	动2	揃える	使…一致 ，备齐
しこく	动2	四国	（日本的）四国地区
にほんれっとう	动2	日本列島	日本列岛
もとめる	动2	求める	追求，寻求，征求
ひろげる	动2	広げる	展开，扩大，扩展
いちづける	动2	位置付ける	放在…位置上
つみかさねる	动2	積み重ねる	积累，堆起来
つける	动2	つける	附加
めざめる	动2	目覚める	睡醒，觉醒
もちいる	动2	用いる	使用，用
とりちがえる	动2	取り違える	拿错了，理解错了
つかいわける	动2	使い分ける	分别用，适当地使用
しらべる	动2	調べる	调查，查找
でむかえる	动2	出迎える	迎接
めぐまれる	动2	恵まれる	富有
みえる	动2	見える	看得见
すぐれる	动2	優れる	优秀，卓越
さかえる	动2	栄える	昌盛繁荣，繁荣兴盛，兴旺
あふれる	动2	溢れる	溢出，漾出
くらべる	动2	比べる	相比，比较，对比
たのしめる	动2	楽しめる	能享受，能欣赏
しゅうちゅう	动2	集中	集中
たてる	动2	建てる	建造
とりいれる	动2	取り入れる	引进，引入，采用
しめる	动2	占める	占，占据；占领
いいつける	动2	言いつける	吩咐
しょうじる	动2	生じる	发生，产生
しはらう	动2	支払う	支付，付款
こえる	动2	超える	超过
まける	动2	負ける	让价，减价
もうける	动2	設ける	制定，设置，设立
やせる	动2	痩せる	瘦
わかれる	动2	分かれる	分开，区分
たりる	动2	足りる	足，够
うめる	动2	埋める	埋，填补
あらわれる	动2	現れる	出现
くだける	动2	砕ける	不拘形式，破碎
はりつける	动2	張り付ける	糊上，贴上
そなえる	动2	備える	准备，防备
はたらきかける	动2	働きかける	对…做工作，推动
こしかける	动2	腰掛ける	坐下
きせる	动2	着せる	给…穿上
ぬりつける	动2	塗り付ける	涂上，抹上
かりあがる	动2	刈り上がる	往上剪，收割完
そめる	动2	染める	染颜色
さめる	动2	醒める	醒，醒悟
つける	动2	付ける	涂，抹
わける	动2	分ける	分，分开，分解
かきいれる	动2	書き入れる	记入，填写
とどける	动2	届ける	送到，申报
ごうけい	动2	合計	总共，合计
よごれる	动2	汚れる	脏
しゅうちゅう	动2	集中	集中
かれる	动2	枯れる	枯萎，枯死
まとめる	动2	纏める	概括；整理；汇总
とりあげる	动2	取り上げる	报道；采纳；拿起
とりかえる	动2	取り替える	交换，更换
おりる	动2	下りる	下，降
あわてる	动2	慌てる	惊慌，急忙
ふざける	动2	ふざける	开玩笑，捉弄人
もうしでる	动2	申し出る	提出，申请
おうじる	动2	応じる	适应，接受，回答，答应
つけくわえる	动2	付け加える	添加，附加
たくわえる	动2	貯える	积蓄
もつれる	动2	縺れる	不听使唤
ささえる	动2	支える	撑起，支撑；支持
いりみだれる	动2	いり乱れる	错杂，混杂
つよめる	动2	強める	加强，增强
こわれる	动2	壊れる	坏，碎
さしひかえる	动2	差し控える	节制，等候
うけとめる	动2	受け止める	接住，理解
つきる	动2	尽きる	尽，完，到头
くれる	动2	暮れる	日暮，天黑
ぞんじる	动2	存じる	思う等的谦让语
おちる	动2	落ちる	掉下来，坠落
みつける	动2	見付ける	找到，发现
ほめたてる	动2	褒め立てる	大加赞扬
ひきあがる	动2	引き上がる	拽起，拉上来
しんじる	动2	信じる	相信，深信，信赖
なでる	动2	撫でる	抚摸
はなしかける	动2	話しかける	搭话，打招呼
まくしたてる	动2	巻し立てる	喋喋不休地说
くるしめる	动2	苦しめる	使…痛苦，折磨
かっこいい	动2	かっこいい	帅气，真帅；真棒
かねる	动2	兼ねる	兼，兼任
にこむ	动2	煮込む	炖，煮，熬
そなえる	动2	供える	供，献
かぞえる	动2	数える	数，计算，列举
あらわれる	动2	現れる	出现
あきる	动2	飽きる	腻烦，厌烦，厌倦
あたえる	动2	与える	给，给予，给与
える	动2	得る	得到，取得
うける	动2	受ける	受欢迎
つかいなれる	动2	使い慣れる	用惯，用熟
ひきつける	动2	引き付ける	吸引
はなれる	动2	離れる	相隔，距离；分离，离开
きえる	动2	消える	消失
とおりぬける	动2	通り抜ける	穿过
はしりぬける	动2	走り抜ける	驶过
ゆきかう	动2	行きかう	往来
みあわせる	动2	見合わせる	互看
おくりとどける	动2	送り届ける	送到，送达
かけよる	动2	駆け寄る	跑进
ほめたたえる	动2	誉め称える	极为称赞
えんじる	动2	演じる	表演，扮演
かたりかける	动2	語りかける	（向某人）搭话
もえる	动2	燃える	燃烧
こたえる	动2	応える	响应，报告
かえりみる	动2	顧みる	回头看，回顾
おそれる	动2	恐れる	害怕，恐惧
たれる	动2	垂れる	垂下
まねる	动2	真似る	模仿，仿效
とめる	动2	泊める	让…住宿
あまえる	动2	甘える	撒娇，接受您的好意
こめる	动2	込める	集中，贯注，包括在内
あける	动2	明ける	过年，（天）明，终了
てりつける	动2	照り付ける	毒晒，暴晒
たえる	动2	絶える	断绝，停止
かたりかける	动2	語りかける	（向某人）搭话
こぼれる	动2	零れる	洒落，溢出
なぐさめる	动2	慰める	安慰，宽慰；慰问，慰劳
あがめる	动2	崇める	崇拜，崇敬
つみかさねる	动2	積み重ねる	积累，堆起来
くわえる	动2	加える	加入，加上．增加
よびかける	动2	呼び掛ける	招呼，号召，呼吁
きがえる	动2	着替える	换衣服，更衣
せきたてる	动2	急き立てる	催促，逼迫
