假名	词性	汉字	含义
ピエール	专有词	ピエール	皮埃尔（姓氏）
ホワイト	专有词	ホワイト	怀特（人名）
マリー	专有词	マリー	玛莉（人名）
きょうりょくする	专有词	協力	合作，协作，配合
たかはし	专有词	高橋	高桥
やまざき	专有词	山崎	山崎（姓氏）
やまざきふみお	专有词	山崎文雄	（人名）
さんごくし	专有词	三国誌	三国演义（书名）
ほんま	专有词	本間	本间 （姓氏）
げん	专有词	元	元代，元朝
はしもと	专有词	橋本	桥本（姓氏）
しょうかくろう	专有词	松鶴楼	松鹤楼（餐馆名）
もうたいしゅ	专有词	茅台酒	茅台酒
しへい	专有词	紙幣	纸币
ガーデンホテル	专有词	ガーデンホテル	花园酒店
めいじいしん	专有词	明治維新	（一八六八年）明治维新
よこはま	专有词	横浜	横滨
さい	专有词	蔡	蔡（姓氏）
しゅう	专有词	周	周
ちょう	专有词	赵	赵（姓氏）
なかやま	专有词	中山	中山（姓氏）
ジョン	专有词	ジョン	约翰（姓氏）
アルン	专有词	アルン	艾伦（姓氏）
ピエール	专有词	ピエール	皮埃尔（姓氏）
ちん	专有词	陳	陈
さわだ	专有词	沢田	泽田（姓氏）
うんなんしょう	专有词	雲南省	云南省
スペイン	专有词	スペイン	西班牙
ロシア	专有词	ロシア	俄罗斯
よこやま	专有词	横山	（姓氏）
ならやまぶしこう	专有词	ならやまぶしこう	（小说名）
こうざん	专有词	黄山	黄山（山名）
ろじん	专有词	魯迅	鲁迅
せいあんじ	专有词	静安寺	静安寺（寺院名 ）
きゅうしゅう	专有词	九州	九州
ほんしゅう	专有词	本州	本州
ほっかいどう	专有词	北海道	北海道
わがはいはねこである	专有词	吾輩は猫である	(作品名）
こう	专有词	江	江（姓氏）
じんみんにっぽう	专有词	人民日報	（报名）
ぶんわいほう	专有词	文わい報	文汇报（报纸名）
きのどく	专有词	気の毒	可怜，悲惨
たなかひでお	专有词	田中秀雄	人名
ぼうえき	专有词	貿易	贸易
ほうがく	专有词	方角	角，角落
シャンハイセンター	专有词	上海センター	上海商城
こうほこう	专有词	黄浦江	（河名）
ほとうしんく	专有词	浦東新区	浦东新区
とくべつかいはつく	专有词	特別開発区	特区
なんほたいきょう	专有词	南浦大橋	（桥名）
ようほたいきょう	专有词	楊浦大橋	（桥名）
オリエントバール	专有词	オリエントバール	东方明珠
アジア	专有词	アジア	亚洲
りめい	专有词	李明	李明（人名）
ちょうえいか	专有词	張栄華	张荣华（人名）
りけん	专有词	李建	李建（人名）
みつい	专有词	三井	三井（公司名）
のむら	专有词	野村	（姓）
みつびし	专有词	三菱	三菱（公司名）
すみとも	专有词	住友	住友（公司名）
なかむら	专有词	中村	中村
さんようでんき	专有词	三洋電気	三洋电器（公司名）
にしむら	专有词	西村	西村（姓氏）
しょみん	专有词	庶民	平民，群众
こじま	专有词	小島	小岛（姓氏）
かすみがせき	专有词	霞ヶ関	霞关（地名）
まるのうち	专有词	丸の内	丸之内（地名）
ぎんざ	专有词	銀座	银座
しんじゅく	专有词	新宿	新宿
しぶや	专有词	渋谷	涩谷
いけぶくろ	专有词	池袋	池袋（地名）
ふくとしん	专有词	副都心	大城市的副中心区
とうきょうと	专有词	東京都	东京都（城市名）
かんこうバス	专有词	観光バス	游览客车
えどじょう	专有词	江戸城	江户城
かもがわ	专有词	鴨川	鸭川（河流名）
おおさかわん	专有词	大阪湾	大阪湾
ぎおんまつり	专有词	祇園祭り	京都八坂神社的庙会
すぎむら	专有词	杉村	杉村（姓氏）
ヨーロッパ	专有词	ヨーロッパ	欧洲
まつもと	专有词	松本	松本（姓氏）
ねんしゅう	专有词	年収	年收入，年薪
たかの	专有词	高野	高野（姓氏）
さんLDK	专有词	三LDK	三室一厅厨房
ふじかわ	专有词	藤川	藤川（姓氏）
こばやし	专有词	小林	小林（姓氏）
たけうち	专有词	竹内	竹中（姓氏）
ホンコン	专有词	香港	香港
メキシコシティー	专有词	メキシコシティ-	墨西哥城（地名）
すずきりょうこ	专有词	鈴木良子	（人名）
かた	专有词	肩	肩膀，肩
ロンドン	专有词	ロンドン	伦敦
よしだ	专有词	吉田	吉田
ちょうえい	专有词	張英	（姓名）张英
スウエーデン	专有词	スウエーデン	瑞典
とうほく	专有词	東北	东北
にほんかい	专有词	日本海	日本海
ふう	专有词	風	风
みなと	专有词	港	港口
たけし	专有词	武	（男名）
えのしま	专有词	江ノ島	（地名）江之岛
おきなわ	专有词	沖縄	冲绳
きんき	专有词	近畿	（日本的）近畿地区
ちゅうぶ	专有词	中部	（日本的）中部地区
かんとう	专有词	関東	日本关东地区
とうほく	专有词	東北	东北
かながわ	专有词	神奈川	（日本县名）
ちば	专有词	千葉	（日本县名）
さいたま	专有词	埼玉	（日本县名）
とちぎ	专有词	栃木	（日本县名）
いばらき	专有词	茨城	（日本县名）
ぐんま	专有词	群馬	（日本县名）
コニカ	专有词	コニカ	柯尼卡（胶卷牌子）
コダック	专有词	コダック	柯达（胶卷牌子）
みつびしせいし	专有词	三菱製紙	（公司名）
まつしたでんき	专有词	松下電器	（公司名）
のりちゃん	专有词	則ちゃん	小范，小规，小则
たいしょう	专有词	大正	大正
としこ	专有词	年子	人名
ひろし	专有词	ひろし(寛、宏、広)	人名
はるお	专有词	春夫	人名
かわむら	专有词	川村	川村（姓）
いけだ	专有词	池田	池田（姓）
たにぐち	专有词	谷口	（姓氏）
こやま	专有词	小山	小山（姓）
おおにし	专有词	大西	大西（姓）
きのした	专有词	木下	木下
かずと	专有词	和人	和人（人名）
しょういち	专有词	正一	正一（人名）
ひらかわ	专有词	平川	平川（姓）
ひろこ	专有词	ひろこ	（人名）
かいがら	专有词	貝殻	贝壳
げんめいてんのう	专有词	元明天皇	元明天皇（六六一~七七二年）
てきせつ	专有词	適切	恰当，适当，适合
たにがわ	专有词	谷川	（姓）
おおた	专有词	大田	（姓）
のむら	专有词	野村	（姓）
たかぎ	专有词	高木	（姓）
きたがわ	专有词	北川	（姓）
いしはら	专有词	石原	（姓）
スプロト	专有词	スプロト	苏布罗特（人名）
グラプ	专有词	グラプ	吉普达（人名)
たむらや	专有词	田村屋	（店名）
おおたしんさく	专有词	大田新作	（人名）
イソップ	专有词	イソップ	伊索
おおたに	专有词	大谷	（姓）
やまだ	专有词	山田	山田
きむら	专有词	木村	木村
にしやま	专有词	西山	（姓）
ながしま	专有词	長島	长岛
うらしまたろう	专有词	浦島太郎	（人名）
やました	专有词	山下	山下
かわかみ	专有词	川上	（姓）
アフリカ	专有词	アフリカ	非洲
インドネシア	专有词	インドネシア	印度尼西亚
なんきょくし	专有词	南極市	南极市（城市名）
たかし	专有词	孝司	（男子名）
ロッキード	专有词	ロッキード	（缩写）超音速运输机
SST	专有词	SST	（美国飞机制造公司名）洛克希德
まるい	专有词	丸井	（店名）
たけい	专有词	竹井	（姓）
つとむ	专有词	勤	（人名）
やすし	专有词	靖	（人名）
てつお	专有词	哲夫	（人名）
ヒット	专有词	ヒット	（棒球）安打
はんずけ	专有词	半助	（人名）
やまぐち	专有词	山口	山口
さかい	专有词	酒伊	（姓）
ほんだ	专有词	本多	（姓）
ナポレオンソロ	专有词	ナポレオンソロ	（电视名）拿破仑梭罗
さがみわん	专有词	相模湾	（地名）
ハヤマごう	专有词	ハヤマ号	（艇号）哈亚玛号
キエル	专有词	キエル	（人名）基尔
ラース	专有词	ラース	（人名）拉斯
スリグ	专有词	スリグ	（人名）斯里格
ほこり	专有词	誇り	骄傲，自豪，自尊心
てんぴょう	专有词	天平	圣武天皇时代的年号（七二九—七四九）
とう	专有词	唐	唐代，唐朝
ようしゅう	专有词	揚州	（地名）扬州
うんこう	专有词	雲綱	（地名）云冈
ふしょう	专有词	普照	（僧侣名）
どうこう	专有词	道抗	（僧侣名）
だいめいじ	专有词	大明寺	（寺院名）
がんじん	专有词	鑑真	（僧侣名）
ようえい	专有词	栄叡	（僧侣名）
なら	专有词	奈良	奈良
だいあんじ	专有词	大安寺	（寺院名）
こうふくじ	专有词	興福寺	（寺院名）
げんろう	专有词	玄郎	（僧侣名）
しょうえん	专有词	祥彦	（僧侣名）
とくせい	专有词	徳清	（僧侣名）
めぐろ	专有词	目黒	目黑（地名）
とうなんアジア	专有词	東南アジア	东南亚
はせがわ	专有词	長谷川	（姓氏）
みゆき	专有词	美雪	（人名）
よこやま	专有词	横山	（姓氏）
みなまた	专有词	水俣	（地名）水俣（熊本县）
にいがた	专有词	新潟	（地名）新泻
よっかいち	专有词	四日市	（地名）四日市（三重县）
しょうわ	专有词	昭和	昭和
ストックホルム	专有词	ストックホルム	（城市名）斯德哥尔摩
ふくざわゆきち	专有词	福沢諭吉	（人名）
ひゃくすけ	专有词	百助	（人名）
なかつ	专有词	中津	（地名，在九州大分县）
ながさき	专有词	長崎	长崎
オランダ	专有词	オランダ	荷兰（国名）
ばくふ	专有词	幕府	幕府（源赖朝后武士总揽军政大权的中央政府）
はこだて	专有词	函館	（地名）
けいおうぎじゅく	专有词	慶應義塾	庆应义塾
まさお	专有词	正雄	（人名）正雄
ブエルトリコ	专有词	ブエルトリコ	（国名）波多黎各
メキシコ	专有词	メキシコ	墨西哥
ろっぽんぎ	专有词	六本木	（地名）
なごや	专有词	名古屋	名古屋
きょうりょくする	专有词	協力	合作，协作，配合
いっきゅう	专有词	一休	（和尚名）
ちくさい	专有词	竹齋	（人名）
けいこ	专有词	恵子	（人名）
とうめいこうそくどうろ	专有词	東名高速道路	东京名古屋高速公路
めいじいしん	专有词	明治維新	（一八六八年）明治维新
とう	专有词	唐	唐代，唐朝
ニンボ	专有词	ニンボ	（地名）
ご	专有词	呉	（姓氏）
しゅう	专有词	周	周
ちん	专有词	陳	陈
おかやま	专有词	岡山	（地名）
せいあん	专有词	西安	西安
じょうきょう	专有词	状況	情况，状况
ふなばしし	专有词	船橋市	（地名）船桥
じんみんにっぽう	专有词	人民日報	（报名）
じんみんちゅうごく	专有词	人民中国	（杂志名）
なりたくうこう	专有词	成田空港	（日本）成田机场
りんせいちゅう	专有词	林正忠	（人名）
ふくしま	专有词	福島	（地名）
よみものしんぶん	专有词	読物新聞	（报纸名）
てんしん	专有词	天津	天津
こなん	专有词	湖南	（地名）
ふっけん	专有词	福建	（地名）
こうせい	专有词	江西	（地名）
じょふく	专有词	徐福	（人名）
しん	专有词	秦	秦代
こうそしょう	专有词	江蘇省	江苏省
さんとう	专有词	山東	（省名）
ひさたけ	专有词	久武	（人名）
コロンプス	专有词	コロンプス	哥伦布
はちじょうしま	专有词	八丈島	（岛名）
あおがしま	专有词	青ヶ島	（岛名）
たにぐち	专有词	谷口	（姓氏）
とう	专有词	唐	唐代，唐朝
けいか	专有词	恵果	（僧侣名）
おうぎし	专有词	王義之	中国东晋时期的书法家
り	专有词	李	李
おう	专有词	王	王
ちょう	专有词	張	张
おの	专有词	小野	小野
よしだ	专有词	吉田	吉田
たなか	专有词	田中	田中
なかむら	专有词	中村	中村
たろう	专有词	太郎	太郎
キム	专有词	金	金
デュポン	专有词	デュポン	迪蓬
スミス	专有词	スミス	史密斯
ジョンソン	专有词	ジョンソン	约翰逊
とうきょうだいがく	专有词	東京大学	东京大学
ペキンだいがく	专有词	北京大学	北京大学
ジェーシーきかく	专有词	ＪＣ企画	JC策划公司
ペキンりょこうしゃ	专有词	北京旅行社	北京旅行社
にっちゅうしょうじ	专有词	日中商事	日中商社
ながしま	专有词	長島	长岛
にほん	专有词	日本	日本
スワトウ	专有词	スワトウ	汕头
ロンドン	专有词	ロンドン	伦敦
シャンハイ	专有词	上海	上海
とうきょう	专有词	東京	东京
よこはま	专有词	横浜	横滨
なごや	专有词	名古屋	名古屋
おおさか	专有词	大阪	大阪
ジェーアール	专有词	ＪＲ	JR
ペキンししゃ	专有词	北京支社	北京分社
こうべ	专有词	神戸	神户
さとう	专有词	佐藤	佐藤
ペキン	专有词	北京	北京
アメリカ	专有词	アメリカ	美国
かんこく	专有词	韓国	韩国
フランス	专有词	フランス	法国
ひろしま	专有词	広島	广岛
きょうと	专有词	京都	京都
ほっかいどう	专有词	北海道	北海道
はこね	专有词	箱根	箱根
ぎんざ	专有词	銀座	银座
しぶや	专有词	渋谷	涩谷
しんじゅく	专有词	新宿	新宿
ちん	专有词	陳	陈
てんあんもん	专有词	天安門	天安门
ばんりのちょうじょう	专有词	万里の長城	万里长城
なら	专有词	奈良	奈良
ふじさん	专有词	富士山	富士山
エベレスト	专有词	エベレスト	珠穆朗玛峰
にっちゅうでんき	专有词	日中電気	日中电器
ベートーベン	专有词	ベートーベン	贝多芬
ショパン	专有词	ショパン	肖邦
こきゅう	专有词	故宮	故宫
ヨーロッパ	专有词	ヨーロッパ	欧洲
ホンコン	专有词	香港	香港
スイス	专有词	スイス	瑞士
やまだ	专有词	山田	山田
とうきょうタワー	专有词	東京タワー	东京塔
しみず	专有词	清水	清水
おおた	专有词	太田	太田
モーツァルト	专有词	モーツァルト	莫扎特
ディズニーランド	专有词	ディズニーランド	迪斯尼乐园
とうきょうえき	专有词	東京駅	东京站
たい	专有词	戴	戴
しゅう	专有词	周	周
とう	专有词	唐	唐代，唐朝
ちゅうごくこうくう	专有词	中国航空	中国航空
てんあんはんてん	专有词	天安飯店	天安饭店
さんかんろ	专有词	三環路	三环路
ふう	专有词	風	风
すずき	专有词	鈴木	铃木
よう	专有词	楊	杨
かとう	专有词	加藤	加藤
ようこ	专有词	葉子	叶子
ひかりデパート	专有词	光デパート	阳光百货商店
ペキンタイガース	专有词	北京タイガース	北京猛虎队＜棒球队名称＞
きのした	专有词	木下	木下
たむら	专有词	田村	田村
なかた	专有词	中田	中田
こくぼう	专有词	国貿	国贸
まこと	专有词	誠	诚，阿诚
しゅうおんらい	专有词	周恩来	周恩来
ろじん	专有词	魯迅	鲁迅
せたがや	专有词	世田谷	世田谷
ふじ	专有词	富士	富士
パク	专有词	パク	朴
ちょうこうくだり	专有词	長江下り	坐船浏览长江两岸风光
こうざん	专有词	香山	香山
ペキンしょくぶつえん	专有词	北京植物園	北京植物园
りゅうえい	专有词	劉英	刘英
タイ	专有词	タイ	泰国
きょうとホテル	专有词	京都ホテル	京都宾馆
メキシコ	专有词	メキシコ	墨西哥
とうだい	专有词	東大	东大，东京大学
はったつれい	专有词	八達嶺	八达岭
ペキンきたえき	专有词	北京北駅	北京北站
うえのどうぶつえん	专有词	上野動物園	上野动物园
しきんじょう	专有词	紫禁城	紫禁城
しん	专有词	清	清，清代
ニューヨーク	专有词	ニューヨーク	纽约
シャンハイほけん	专有词	上海保険	上海保险公司
おおかわ	专有词	大川	大川
スペインたいしかん	专有词	～大使館	西班牙大使馆
シャンハイコンス	专有词	上海公司	上海公司
アフリカ	专有词	アフリカ	非洲
ながさき	专有词	長崎	长崎
ジャパンレールウェイズ	专有词	ジャパンレールウェイズ	日本铁路
とうかいどう	专有词	東海道	东海道
さんよう	专有词	山陽	山阳
とうほく	专有词	東北	东北
きゅうしゅう	专有词	九州	九州
ほんしゅう	专有词	本州	本州
アジア	专有词	アジア	亚洲
こくさい れんごう	专有词	国際連合	联合国
こくれん	专有词	国連	联合国
ぜんこくじんみんだいひょうたいかい	专有词	全国人民代表大会	全国人民代表大会
ぜんじんだい	专有词	全人代	全国人民代表大会
ダブリューティーオー	专有词	WTO	WTO．世界贸易组织
せかいぼうえききかん	专有词	世界貿易機関	世界贸易组织
こうしゅう	专有词	杭州	杭州
おおやま	专有词	大山	大山
のだ	专有词	野田	野田
りえ	专有词	理恵	理惠
ふう	专有词	風	风
なかい	专有词	中井	中井
せっこうしょう	专有词	浙江省	浙江省
しょうこう	专有词	紹興	绍兴
しょうこうしゅ	专有词	紹興酒	绍兴酒
はじめ	专有词	はじめ	初
きょうこ	专有词	響子	响子
おがわ	专有词	小川	小川
みん	专有词	明	明代，明朝
てんしん	专有词	天津	天津
けん	专有词	建	建
えん	专有词	燕	燕
きた	专有词	北	北
かん	专有词	韓	韩
きゅうりき	专有词	九力	九力
にっちゅうびょういん	专有词	日中病院	日中病院
とうとうしんぶん	专有词	東東新聞	东东新闻
めいじ	专有词	明治	明治
なかたに	专有词	中谷	中古
おおすぎ	专有词	大杉	大杉
しょうわ	专有词	昭和	昭和
へいせい	专有词	平成	平成
たいしょう	专有词	大正	大正
サウジアラビア	专有词	サウジアラビア	沙特阿拉伯
ほっきょく	专有词	北極	北极
あおき	专有词	青木	青木
アイターンげんしょう	专有词	Ｉターン現象	单行现象
げん	专有词	元	元代，元朝
こうしゅう	专有词	広州	广州
りゅうこしゅぞう	专有词	竜虎酒造	龙虎酒业公司
あきはばら	专有词	秋葉原	秋叶原
ベトナム	专有词	ベトナム	越南
イタリア	专有词	イタリア	意大利
つばめじょうぞう	专有词	燕醸造	燕牌酿酒
ノーストンホテル	专有词	ノーストンホテル	诺斯顿饭店
かしょうしゅてん	专有词	華晶酒店	华晶酒店
べテラン	专有词	べテラン	老手．行家．里手
まちこ	专有词	町子	町子
たくや	专有词	拓也	拓也
にっしんしょくひん	专有词	日清食品	日清食品
あんどうももふく	专有词	安藤百福	安藤百福
にほんこうくう	专有词	日本航空	日本航空（公司）
パリ	专有词	パリ	巴黎
ローマ	专有词	ローマ	罗马
なりた	专有词	成田	成田
ナポリ	专有词	ナポリ	那不勒斯
ポンペイ	专有词	ポンペイ	庞贝古城
しゅうかい	专有词	集会	集会
ありまおんせん	专有词	有馬温泉	有马温泉
きょうりょくする	专有词	協力	合作，协作，配合
いっしん	专有词	一心	一心
うすめる	专有词	薄める	冲淡；稀释；淡化
クレヨンしんちゃん	专有词	クレヨンしんちゃん	蜡笔小新
ドラえもん	专有词	ドラえもん	机器猫
ちびまるこちゃん	专有词	ちびまる子ちゃん	樱桃小丸子
てつわんアトム	专有词	鉄腕～	铁臂阿童木
せんとちひろのかみかくし	专有词	千と千尋の神隠し	千与千寻
まくら	专有词	まくら	枕头
ミナミ	专有词	ミナミ	大阪市南部商业繁华区名称
ことばにあまえる	专有词	言葉に甘える	按您所说，如您所说
ディーブイディー	专有词	DVD	DVD机；数字光盘
かいがら	专有词	貝殻	贝壳
ながのけん	专有词	長野県	长野县
きんき	专有词	近畿	（日本的）近畿地区
ちゅうぶ	专有词	中部	（日本的）中部地区
かんさい	专有词	関西	关西
ボランティアかつどう	专有词	～活動	志愿者活动
とうざいしょくひん	专有词	東西食品	东西食品公司
じょうきょう	专有词	状況	情况，状况
ごとう	专有词	後藤	后藤
ふっけんしょう	专有词	福建省	福建省
かねこ	专有词	金子	金子
たかはし	专有词	高橋	高桥
きぬ	专有词	絹	丝绸，绸子；（蚕）丝
ねんしゅう	专有词	年収	年收入，年薪
せんきょ	专有词	選挙	选举
かたくるしい	专有词	堅苦しい	一本正经，郑重其事
けいざんこうえん	专有词	景山公園	景山公园
げん	专有词	元	元代，元朝
チェンシーフートン	专有词	銭市胡同	钱市胡同
モータオフートン	专有词	磨刀胡同	磨刀胡同
みん	专有词	明	明代，明朝
なんせい	专有词	南西	南西
ほうがく	专有词	方角	角，角落
おうぼする	专有词	応募	报名参加，应征；应募
ほこり	专有词	誇り	骄傲，自豪，自尊心
シャンハイパール	专有词	上海～	上海珍珠
ペキンルージュ	专有词	北京～	北京丹红
きたかみぼうえき	专有词	北上貿易	北上贸易公司
とくえい	专有词	徳栄	德荣
きくち	专有词	菊池	菊池
こういち	专有词	光一	光一
シャンハイペックホテル	专有词	上海PEC～	上海PEC宾馆
くろだ	专有词	黒田	黑田
てんじひん	专有词	展示品	展品
うんてんめんきょ	专有词	運転免許	驾驶证，驾驶执照
しへい	专有词	紙幣	纸币
かた	专有词	肩	肩膀，肩
とうきょうすい	专有词	東京水	东京水
かなまちじょうすいじょう	专有词	金町浄水場	金町净水厂
かつしかく	专有词	葛飾区	葛饰区
しゅっしゃする	专有词	出社	上班
ちゅうごくたいいくいいんかい	专有词	中国体育委員会	国家体育运动委员会
てきせつ	专有词	適切	恰当，适当，适合
オゾンそう	专有词	～層	臭氧层

