假名	词性	汉字	含义
ほうふ	形容动词	豊富	丰富
のうりつてき	形容动词	能率的	有效率（的）
きけん	形容动词	危険	危险
せんしんてき	形容动词	先進的	先进的
こうかてき	形容动词	効果的	有成效的
ちょっとした	形容动词	ちょっとした	一点点，有点，稍微
へいきんてき	形容动词	平均的	平均的
ばめん	形容动词	場面	场景，场面
はで	形容动词	派手	耀眼，花哨
せいどてき	形容动词	制度的	制度的
ふくざつ	形容动词	複雑	复杂，繁杂
ほがらか	形容动词	朗らか	（心情）快活，开朗；（天气）晴朗
どうよう	形容动词	同様	同样，一样
かがくてき	形容动词	科学的	科学（的）
ぶつりてき	形容动词	物理的	物理（的）
かがくてき	形容动词	化学的	化学（的）
ゆうこう	形容动词	有効	有效
ちいきてき	形容动词	地域的	地区性的
けいざいてき	形容动词	経済的	经济上的，节省的
さまざま	形容动词	様々	各种各样
さわやか	形容动词	爽やか	（心情，天气）爽朗
さいこう	形容动词	最高	最好，最高
むらさき	形容动词	紫	紫，紫色
そぼく	形容动词	素朴	朴素
ふとくい	形容动词	不得意	不颤长
とぎれとぎれ	形容动词	途切れ途切れ	时断时续
てがる	形容动词	手軽	简便，简单，轻便
けんせつてき	形容动词	建設的	建设性的
ていきてき	形容动词	定期的	定期
たっぷり	形容动词	たっぷり	满……，充分，足够
したしげ	形容动词	親しげ	亲密（地）
すなお	形容动词	素直	纯朴，天真
だいきらい	形容动词	大嫌い	极不喜欢
かわいそう	形容动词	可哀相	可怜
ひま	形容动词	暇	空闲
じむてき	形容动词	事務的	事务性的
りゅうちょう	形容动词	流暢	流畅
こうど	形容动词	高度	高级，高度
たいりょう	形容动词	大量	大量
とうぜん	形容动词	当然	当然，应当
ばくはつてき	形容动词	爆発的	急剧的，惊人的
せいしき	形容动词	正式	正规，正式
ユーモラス	形容动词	ユーモラス	幽默的，滑稽的
クール	形容动词	クール	凉爽，冷淡
ハード	形容动词	ハード	(日程）紧张，紧密；困难；硬，坚固
みりょくてき	形容动词	魅力的	富有魅力的
ゆるやか	形容动词	緩やか	缓慢，宽松
けいかくてき	形容动词	計画的	有计划的
せっきょくてき	形容动词	積極的	积极．正面
かんぜん	形容动词	完全	充分，完全
たっしゃ	形容动词	達者	健康，健壮，保重
すこやか	形容动词	健やか	健康，健壮
おめでたい	形容动词	おめでたい	可喜可贺，值得庆贺
せいしんてき	形容动词	精神的	精神上的
こうてき	形容动词	公的	公的，公共的
してき	形容动词	私的	私人的，个人的
じゅうみん	形容动词	住民	居民
とっび	形容动词	突飛	离奇，古怪
たんじゅん	形容动词	単純	单纯
すみやか	形容动词	速やか	快，迅速
ちゅうこうねん	形容动词	中高年	中老年
りゅうちょう	形容动词	流暢	流畅
ぎっしり	形容动词	ぎっしり	满满的，紧紧的
きそくてき	形容动词	規則的	有规律的
ふずいてき	形容动词	付随的	附属的
てつめんび	形容动词	鉄面皮	厚脸皮
めいかく	形容动词	明確	明确
かんせつてき	形容动词	間接的	间接的
なめらか	形容动词	滑らか	光滑，通顺
こうだい	形容动词	広大	广大，广阔
ほうふたさい	形容动词	豊富多彩	丰富多彩
だいきぼ	形容动词	大規模	大规模的
ざっくばらん	形容动词	ざっくばらん	坦率，和盘托出
くしゃくしゃ	形容动词	くしゃくしゃ	乱糟糟，皱皱褶褶
おろそか	形容动词	疎か	疏忽，草率
じゅんちょう	形容动词	順調	顺利，良好
きちょう	形容动词	貴重	贵重
ふせいじょう	形容动词	不正常	不正常
あらた	形容动词	新た	新，重新
ひんぱん	形容动词	頻繁	频繁
けんぜん	形容动词	健全	健康，健全，坚实，稳固
じんてき	形容动词	人的	人的
いだい	形容动词	偉大	伟大
しんぴてき	形容动词	神秘的	神秘的
きれい	形容动词	きれい	漂亮，干净
ゆうめい	形容动词	有名	有名
にぎやか	形容动词	にぎやか	热闹，繁华
しずか	形容动词	静か	安静
ひま	形容动词	暇	空闲
しんせつ	形容动词	親切	热情
すき	形容动词	好き	喜欢
きらい	形容动词	嫌い	讨厌
べんり	形容动词	便利	方便
ふべん	形容动词	不便	不方便
げんき	形容动词	元気	健康，有精神
かんたん	形容动词	簡単	简单
ハンサム	形容动词	ハンサム	英俊，帅气
じょうず	形容动词	上手	擅长，高明，水平高
へた	形容动词	下手	不高明，水平低
にがて	形容动词	苦手	不擅长，不善于
だいすき	形容动词	大好き	非常喜欢
たいへん	形容动词	大変	够受的，不得了
だいじょうぶ	形容动词	大丈夫	没关系，放心
だめ	形容动词	だめ	不行，不可以
ユニーク	形容动词	ユニーク	独特，唯一
あんぜん	形容动词	安全	安全
はで	形容动词	派手	耀眼，花哨
じみ	形容动词	地味	朴素，质朴
げんじゅう	形容动词	厳重	森严；严格
まじめ	形容动词	まじめ	认真；严肃
たいせつ	形容动词	大切	重要，珍贵
ふくざつ	形容动词	複雑	复杂，繁杂
りっぱ	形容动词	立派	美观，杰出
シンプル	形容动词	シンプル	单纯，简洁
ほんとう	形容动词	本当	真的，真正
きゅう	形容动词	急	突然；紧急
ゆたか	形容动词	豊か	充裕，丰富
すてき	形容动词	すてき	漂亮，极好
とくい	形容动词	得意	擅长
しんせん	形容动词	新鮮	新鲜
らんぼう	形容动词	乱暴	粗暴
きけん	形容动词	危険	危险
たのしみ	形容动词	楽しみ	愉快，期待
とくべつ	形容动词	特別	特别
じゆう	形容动词	自由	随便，自由
ていねい	形容动词	丁寧	精心，细心，恭敬
きさく	形容动词	気さく	爽快，坦率
らく	形容动词	楽	容易，简易；快乐，轻松
ざんねん	形容动词	残念	可惜，遗憾
ゆうしゅう	形容动词	優秀	优秀，优异
さいこう	形容动词	最高	最好，最高
へん	形容动词	へん	不恰当，奇怪，反常
かんぜん	形容动词	完全	充分，完全
ひつよう	形容动词	必要	必要，必须
ほんと	形容动词	ほんと	真的
ぜいたく	形容动词	ぜいたく	奢望，奢侈，过分
ふしぎ	形容动词	不思議	不可思议，奇怪
しゅよう	形容动词	主要	主要
こんな	形容动词	こんな	这样的
しょうきょくてき	形容动词	消極的	消极，负面
せっきょくてき	形容动词	積極的	积极．正面
ちゅうしょうてき	形容动词	抽象的	抽象
けっこう	形容动词	結構	很好，优秀；足够；不必
へいわ	形容动词	平和	和平
じゅんちょう	形容动词	順調	顺利，良好
いや	形容动词	嫌	讨厌，厌烦
ふかい	形容动词	不快	不快，不高兴
かわいそう	形容动词	かわいそう	可怜
むだづかい	形容动词	無駄使い	浪费，滥用
しょくえん	形容动词	食塩	食盐
しんこく	形容动词	深刻	严肃，严重；深刻
あたりまえ	形容动词	当たり前	当然，理所当然
あつかう	形容动词	扱う	经营；对待，处理
せいかつしゅうかんびょう	形容动词	生活習慣病	生活习惯病，成人病
ユーターンげんしょう	形容动词	Uターン現象	调头现象
さいてき	形容动词	最適	最合适，最适合
ほうふ	形容动词	豊富	丰富
おだやか	形容动词	穏やか	温和；平稳，平静
ねっしん	形容动词	熱心	热情，热心
さまざま	形容动词	さまざま	各式各样，形形色色
たいら	形容动词	平ら	扁平，平，平坦
せいしき	形容动词	正式	正规，正式
スマート	形容动词	スマート	苗条；漂亮；洒脱
めいかく	形容动词	明確	明确
かんけつ	形容动词	簡潔	简洁
～どおり	形容动词	～どおり	与～一样，按照～那样，原样，同样
ハード	形容动词	ハード	(日程）紧张，紧密；困难；硬，坚固
～しょく	形容动词	～食	～餐
とうめい	形容动词	透明	透明
たっぷり	形容动词	たっぷり	满……，充分，足够
ちょっとした	形容动词	ちょっとした	一点点，有点，稍微
なんのおかまいもできませんで	形容动词	何のお構いもできませんで	没什么招待您的
ペルーおき	形容动词	～沖	秘鲁海上
じょうけん	形容动词	条件	条件，提前
たよう	形容动词	多様	多种多样，各式各样
しゅうかく	形容动词	収穫	收获
どく	形容动词	毒	毒，毒物
ゆうこう	形容动词	有効	有效
ないこうてき	形容动词	内向的	内向
かっぱつ	形容动词	活発	活泼，活跃
びんかん	形容动词	敏感	敏感，灵敏
～ども	形容动词	～ども	～们（自谦语）
たいわん	形容动词	台湾	台湾
べんきょうになる	形容动词	勉強になる	学到东西，有收获
ちゅうこうねん	形容动词	中高年	中老年
ひんぱん	形容动词	頻繁	频繁
ちへいせん	形容动词	地平線	ちへいせん（地平線）[名]地平线
むらさき	形容动词	紫	紫，紫色
しょうじき	形容动词	正直	老实，诚实
とう～	形容动词	当～	本～，这～
もっとも	形容动词	もっとも	有道理，合理，正当，理所当然
かって	形容动词	勝手	任意，随便
ふめい	形容动词	不明	不清楚，不明确，不明白
きがる	形容动词	気軽	轻松愉快，爽快，舒畅
せいきゅうしょ	形容动词	請求書	帐单，付款通知单
もっとも	形容动词	もっとも	有道理，合理，正当，理所当然
しらせ	形容动词	知らせ	消息，通知
てりつける	形容动词	照りつける	暴晒，毒晒
かせい	形容动词	火星	火星
ぜん～	形容动词	全～	全～
かしょ	形容动词	箇所	地方，处所
くるしい	形容动词	苦しい	痛苦，苦
ばいぞうする	形容动词	倍増	倍增

